Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_MaxVal ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_FotodiodoFinal ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_X_Pos_Real ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Y_Pos_Real ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Tam_Haz_Muestra ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Cdespla ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_TipoBusca ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Listado_Controlables_Valores ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Listado_Controlables_Nombres ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_X_Pos ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Y_Pos ; Buscador_System.Int32 ; Sim_Tilt_X_System.Single ; Sim_Tilt_Y_System.Single ; L2FocusBackSlash_System.Single ; BackSlash_System.Double
Maximo valor registrado ; Valor fotodiodo ; Posición final sobre la muestra X ; Posicion final sobre la muestra Y ; Tamaño del haz sobre la muestra ; Cantidad de desplazamientos ; Tipo de buscador ; Listado de valores de los controlables ; Listado de nombres de los controlables ; Posición seteada para la alineación X ; Posición seteada para la alineación Y ; Numeric value ; Numeric value ; Numeric value ; Numeric value ; Numeric value
0.9408839 ; 0.9395491 ; -0.0001216291 ; -0.0001218964 ; 2.0303E-06 ; 1010 ; Integral ; 0 ; 0 ; -0.25 ; -0.25 ; 0 ; 0.18 ; 0.345 ; 0.99 ; 0.02
0.722146 ; 0.6330159 ; -0.0001007745 ; -0.000100807 ; 2.410967E-06 ; 1010 ; Bayesiano ; 0 ; 0 ; -0.25 ; -0.25 ; 1 ; -0.04949966 ; 0.15742 ; 0.1238643 ; 0.02
0.9291427 ; 0.9289718 ; -5.138452E-05 ; -0.0001131649 ; 2.042068E-06 ; 976 ; Integral ; 0 ; 0 ; -0.125 ; -0.25 ; 0 ; 0.03999996 ; 0.3649999 ; 1 ; 0.02
0.7455165 ; 0.7401817 ; -4.802855E-05 ; -0.0001293173 ; 2.315804E-06 ; 976 ; Bayesiano ; 0 ; 0 ; -0.125 ; -0.25 ; 1 ; -0.0417833 ; 0.1849687 ; 0.1971121 ; 0.02
0.9515621 ; 0.9531371 ; 1.913211E-05 ; -0.0001269427 ; 2.028805E-06 ; 953 ; Integral ; 0 ; 0 ; 0 ; -0.25 ; 0 ; 0.02499996 ; 0.4949999 ; 1 ; 0.02
0.7349885 ; 0.5424468 ; 2.80861E-05 ; -0.0001225523 ; 2.347591E-06 ; 953 ; Bayesiano ; 0 ; 0 ; 0 ; -0.25 ; 1 ; 0.0701362 ; 0.1626936 ; 0.1965575 ; 0.02
0.9148313 ; 0.9180784 ; 7.692741E-05 ; -0.0001069139 ; 2.051811E-06 ; 1105 ; Integral ; 0 ; 0 ; 0.125 ; -0.25 ; 0 ; 0.02999996 ; 0.08499996 ; 0.99 ; 0.02
0.7381068 ; 0.639344 ; 6.124846E-05 ; -0.0001225472 ; 2.370408E-06 ; 1105 ; Bayesiano ; 0 ; 0 ; 0.125 ; -0.25 ; 1 ; 0.005360528 ; 0.1614317 ; 0.1789636 ; 0.02
0.9466065 ; 0.9472209 ; 0.0001196663 ; -0.0001258828 ; 2.030047E-06 ; 1009 ; Integral ; 0 ; 0 ; 0.25 ; -0.25 ; 0 ; -0.1000001 ; 0.22 ; 0.99 ; 0.02
0.7472492 ; 0.7370279 ; 0.0001225612 ; -9.323465E-05 ; 2.376836E-06 ; 1009 ; Bayesiano ; 0 ; 0 ; 0.25 ; -0.25 ; 1 ; -0.196116 ; 0.118355 ; 0.1906408 ; 0.02
0.9279392 ; 0.9253388 ; 0.0001331061 ; -5.121347E-05 ; 2.044214E-06 ; 1017 ; Integral ; 0 ; 0 ; 0.25 ; -0.125 ; 0 ; -0.245 ; 0.09999996 ; 0.99 ; 0.02
0.7411864 ; 0.6913555 ; 0.000132281 ; -5.067827E-05 ; 2.385809E-06 ; 1017 ; Bayesiano ; 0 ; 0 ; 0.25 ; -0.125 ; 1 ; -0.1975448 ; 0.04840787 ; 0.1752643 ; 0.02
0.9996901 ; 0.996988 ; 6.42204E-05 ; -5.625287E-05 ; 1.99996E-06 ; 869 ; Integral ; 0 ; 0 ; 0.125 ; -0.125 ; 0 ; 1 ; -0.335 ; 0.935 ; 0.02
0.6954023 ; 0.01339262 ; 8.16535E-05 ; -4.084365E-05 ; 2.321055E-06 ; 869 ; Bayesiano ; 0 ; 0 ; 0.125 ; -0.125 ; 1 ; 0.1375695 ; 0.1260263 ; 0.1561203 ; 0.02
0.5944126 ; 0.59414 ; -1.289906E-07 ; -6.002177E-05 ; 2.001635E-06 ; 1064 ; Integral ; 0 ; 0 ; 0 ; -0.125 ; 0 ; 0.1049999 ; -1 ; 0.71 ; 0.02
0.6073818 ; 0.009883568 ; -2.733602E-08 ; -5.355546E-05 ; 2.039605E-06 ; 1064 ; Bayesiano ; 0 ; 0 ; 0 ; -0.125 ; 1 ; 0.1400565 ; -0.06066214 ; 0.1195209 ; 0.02
0.7145236 ; 0.7169855 ; -6.006859E-05 ; -6.809062E-05 ; 2.003062E-06 ; 1190 ; Integral ; 0 ; 0 ; -0.125 ; -0.125 ; 0 ; -0.775 ; -0.54 ; 0.9349999 ; 0.02
0.6350222 ; 0.2146 ; -6.12142E-05 ; -6.121166E-05 ; 2.18433E-06 ; 1190 ; Bayesiano ; 0 ; 0 ; -0.125 ; -0.125 ; 1 ; -0.1835876 ; -0.1974956 ; 0.1192616 ; 0.02
0.8935924 ; 0.8960542 ; -0.0001128283 ; -5.131416E-05 ; 2.076765E-06 ; 963 ; Integral ; 0 ; 0 ; -0.25 ; -0.125 ; 0 ; 0.2499999 ; 0.08999996 ; 0.99 ; 0.02
0.7156107 ; 0.7094958 ; -0.0001047168 ; -4.343515E-05 ; 2.478587E-06 ; 963 ; Bayesiano ; 0 ; 0 ; -0.25 ; -0.125 ; 1 ; 0.1922281 ; 0.08832995 ; 0.1863185 ; 0.02
0.8984933 ; 0.8983224 ; -0.0001163113 ; 1.809567E-05 ; 2.065008E-06 ; 932 ; Integral ; 0 ; 0 ; -0.25 ; 0 ; 0 ; 0.5099999 ; -0.07500004 ; 1 ; 0.02
0.708567 ; 0.4138596 ; -0.0001096132 ; 2.198604E-08 ; 2.452336E-06 ; 932 ; Bayesiano ; 0 ; 0 ; -0.25 ; 0 ; 1 ; 0.173592 ; -0.06741252 ; 0.1997452 ; 0.02
0.1345189 ; 0.134348 ; -6.024196E-05 ; 2.437775E-06 ; 2.000075E-06 ; 1147 ; Integral ; 0 ; 0 ; -0.125 ; 0 ; 0 ; -0.73 ; 0.5899999 ; 0.83 ; 0.02
0.7435428 ; 0.02840747 ; -4.820408E-05 ; -2.031502E-08 ; 2.03497E-06 ; 1147 ; Bayesiano ; 0 ; 0 ; -0.125 ; 0 ; 1 ; -0.1691532 ; 0.0724979 ; 0.1716094 ; 0.02
0.9731227 ; 0.9738386 ; 1.231054E-06 ; 1.184841E-06 ; 2.007315E-06 ; 947 ; Integral ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.17 ; 0.355 ; 0.125 ; 0.02
0.9952632 ; 0.857902 ; 2.118018E-08 ; 1.176741E-08 ; 2.003698E-06 ; 947 ; Bayesiano ; 0 ; 0 ; 0 ; 0 ; 1 ; 0.1021574 ; 0.05675718 ; -0.1269092 ; 0.02
0.4248614 ; 0.4232216 ; 7.799201E-05 ; 7.033445E-06 ; 2.321733E-06 ; 1032 ; Integral ; 0 ; 0 ; 0.125 ; 0 ; 0 ; 0.855 ; 0.235 ; 0.16 ; 0.02
0.6503494 ; 0.005448351 ; 6.122147E-05 ; 2.045367E-06 ; 2.159063E-06 ; 1032 ; Bayesiano ; 0 ; 0 ; 0.125 ; 0 ; 1 ; 0.1970344 ; 0.09770242 ; 0.08885762 ; 0.02
0.9063384 ; 0.9076363 ; 0.0001258635 ; 2.898249E-06 ; 2.066468E-06 ; 929 ; Integral ; 0 ; 0 ; 0.25 ; 0 ; 0 ; -0.195 ; 0.08999997 ; 1 ; 0.02
0.7270821 ; 0.7241378 ; 0.0001225651 ; 2.297701E-05 ; 2.427574E-06 ; 929 ; Bayesiano ; 0 ; 0 ; 0.25 ; 0 ; 1 ; -0.1991443 ; 0.04846895 ; 0.1536566 ; 0.02
0.9430159 ; 0.9442123 ; 0.000149783 ; 8.832849E-05 ; 2.009818E-06 ; 989 ; Integral ; 0 ; 0 ; 0.25 ; 0.125 ; 0 ; -0.315 ; -0.195 ; 0.99 ; 0.02
0.6943877 ; 0.5672901 ; 0.0001450323 ; 6.125722E-05 ; 2.415845E-06 ; 989 ; Bayesiano ; 0 ; 0 ; 0.25 ; 0.125 ; 1 ; -0.1767626 ; -0.1051666 ; 0.04242805 ; 0.02
0.8538632 ; 0.8536923 ; 7.076987E-05 ; 7.048511E-05 ; 2.020154E-06 ; 961 ; Integral ; 0 ; 0 ; 0.125 ; 0.125 ; 0 ; 0.3699999 ; 0.54 ; 0.99 ; 0.02
0.7264961 ; -0.001207726 ; 6.121022E-05 ; 6.993249E-05 ; 2.45787E-06 ; 961 ; Bayesiano ; 0 ; 0 ; 0.125 ; 0.125 ; 1 ; 0.1507253 ; 0.1303529 ; 0.161624 ; 0.02
0.4477593 ; 0.4451867 ; -3.279264E-06 ; 5.757641E-05 ; 2.896454E-06 ; 1126 ; Integral ; 0 ; 0 ; 0 ; 0.125 ; 0 ; -0.12 ; 0.125 ; 0.995 ; 0.02
0.5009478 ; 0.3807262 ; -3.66767E-06 ; 6.122642E-05 ; 3.580079E-06 ; 1126 ; Bayesiano ; 0 ; 0 ; 0 ; 0.125 ; 1 ; 0.004495836 ; 0.09043743 ; 0.1600886 ; 0.02
0.001960406 ; -0.0001596794 ; -5.447411E-05 ; 6.723491E-05 ; 2.606025E-06 ; 923 ; Integral ; 0 ; 0 ; -0.125 ; 0.125 ; 0 ; -0.4450001 ; 0.9 ; 0.34 ; 0.02
0.3947165 ; 0.001522765 ; -4.461821E-05 ; 7.783416E-05 ; 3.114778E-06 ; 923 ; Bayesiano ; 0 ; 0 ; -0.125 ; 0.125 ; 1 ; -0.1331395 ; 0.1070906 ; 0.1692325 ; 0.02
0.9419127 ; 0.9416401 ; -0.0001341285 ; 5.017746E-05 ; 2.032983E-06 ; 944 ; Integral ; 0 ; 0 ; -0.25 ; 0.125 ; 0 ; 0.4 ; 0.04999996 ; 0.995 ; 0.02
0.733525 ; 0.1456417 ; -0.0001065645 ; 7.724344E-05 ; 2.408926E-06 ; 944 ; Bayesiano ; 0 ; 0 ; -0.25 ; 0.125 ; 1 ; 0.08431809 ; -0.04632857 ; 0.1810122 ; 0.02
0.9618232 ; 0.9617539 ; -0.0001379175 ; 0.0001480723 ; 2.000975E-06 ; 973 ; Integral ; 0 ; 0 ; -0.25 ; 0.25 ; 0 ; 0.45 ; -0.245 ; 0.985 ; 0.02
0.7128974 ; 0.663771 ; -0.0001146878 ; 0.0001304289 ; 2.309534E-06 ; 973 ; Bayesiano ; 0 ; 0 ; -0.25 ; 0.25 ; 1 ; 0.1880236 ; -0.1930763 ; 0.1877294 ; 0.02
0.9097421 ; 0.9102547 ; -5.573954E-05 ; 0.0001288186 ; 2.063479E-06 ; 1010 ; Integral ; 0 ; 0 ; -0.125 ; 0.25 ; 0 ; 0.09499996 ; -0.4 ; 1 ; 0.02
0.5380083 ; 0.4019195 ; -6.129067E-05 ; 0.0001336248 ; 2.410806E-06 ; 1010 ; Bayesiano ; 0 ; 0 ; -0.125 ; 0.25 ; 1 ; 0.1409798 ; 0.04493548 ; 0.1766032 ; 0.02
0.899168 ; 0.9017315 ; 1.666891E-05 ; 0.0001317659 ; 2.057166E-06 ; 1047 ; Integral ; 0 ; 0 ; 0 ; 0.25 ; 0 ; -0.005000039 ; -0.335 ; 1 ; 0.02
0.5922593 ; 0.3131861 ; 7.245862E-06 ; 0.0001297836 ; 2.428758E-06 ; 1047 ; Bayesiano ; 0 ; 0 ; 0 ; 0.25 ; 1 ; -0.00479062 ; -0.1666037 ; 0.1746835 ; 0.02
0.4337211 ; 0.4329682 ; 6.187653E-05 ; 0.000123179 ; 2.364218E-06 ; 1091 ; Integral ; 0 ; 0 ; 0.125 ; 0.25 ; 0 ; 0.135 ; 0.009999959 ; 0.255 ; 0.02
0.6818611 ; 0.5477374 ; 7.160483E-05 ; 0.0001328578 ; 2.371705E-06 ; 1091 ; Bayesiano ; 0 ; 0 ; 0.125 ; 0.25 ; 1 ; -0.1388634 ; -0.1922409 ; 0.1435017 ; 0.02
0.9355661 ; 0.9354968 ; 0.0001138625 ; 0.0001419155 ; 2.044582E-06 ; 1043 ; Integral ; 0 ; 0 ; 0.25 ; 0.25 ; 0 ; -0.215 ; -0.37 ; 0.7449999 ; 0.02
0.7818387 ; 0.6422632 ; 0.0001225546 ; 0.0001225526 ; 2.286792E-06 ; 1043 ; Bayesiano ; 0 ; 0 ; 0.25 ; 0.25 ; 1 ; -0.1743209 ; -0.1681608 ; 0.1915436 ; 0.02
0.4393659 ; 0.4406638 ; -0.0001097678 ; -0.0001097707 ; 2.476317E-06 ; 1076 ; Integral ; 0 ; 0 ; -0.25 ; -0.25 ; 0 ; -0.225 ; -0.07500003 ; -0.01500003 ; 0.02
0.7449489 ; 0.61169 ; -0.0001225616 ; -0.0001225568 ; 2.322541E-06 ; 1076 ; Bayesiano ; 0 ; 0 ; -0.25 ; -0.25 ; 1 ; 0.1914973 ; 0.1764483 ; 0.1969837 ; 0.02
0.4381264 ; 0.4393227 ; -5.435501E-05 ; -0.0001155015 ; 2.545616E-06 ; 1003 ; Integral ; 0 ; 0 ; -0.125 ; -0.25 ; 0 ; -0.35 ; 0.175 ; -0.135 ; 0.02
0.745901 ; 0.7385477 ; -5.95519E-05 ; -0.0001225578 ; 2.346087E-06 ; 1003 ; Bayesiano ; 0 ; 0 ; -0.125 ; -0.25 ; 1 ; -0.03492101 ; 0.1989113 ; 0.1778137 ; 0.02
0.9221289 ; 0.9218564 ; 7.176375E-06 ; -0.0001157808 ; 2.042912E-06 ; 901 ; Integral ; 0 ; 0 ; 0 ; -0.25 ; 0 ; 0.07499996 ; 0.355 ; 1 ; 0.02
0.7247266 ; 0.6546969 ; -1.276931E-08 ; -0.0001114348 ; 2.373964E-06 ; 901 ; Bayesiano ; 0 ; 0 ; 0 ; -0.25 ; 1 ; 0.04129522 ; 0.1753875 ; 0.1893782 ; 0.02
0.9080091 ; 0.9085218 ; 7.82517E-05 ; -0.0001143642 ; 2.050112E-06 ; 959 ; Integral ; 0 ; 0 ; 0.125 ; -0.25 ; 0 ; 0.03499996 ; 0.215 ; 1 ; 0.02
0.7395469 ; 0.6746868 ; 6.697978E-05 ; -0.0001225547 ; 2.36522E-06 ; 959 ; Bayesiano ; 0 ; 0 ; 0.125 ; -0.25 ; 1 ; 0.005970465 ; 0.1750787 ; 0.19158 ; 0.02
0.9326943 ; 0.9333085 ; 0.0001287868 ; -0.0001282979 ; 2.033928E-06 ; 924 ; Integral ; 0 ; 0 ; 0.25 ; -0.25 ; 0 ; -0.235 ; 0.24 ; 1 ; 0.02
