Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_MaxVal ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_FotodiodoFinal ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_X_Pos_Real ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Y_Pos_Real ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Tam_Haz_Muestra ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Cdespla ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_TipoBusca ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Listado_Controlables_Valores ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Listado_Controlables_Nombres ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_X_Pos ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Y_Pos ; Buscador_System.Int32 ; Sim_Tilt_X_System.Single ; Sim_Tilt_Y_System.Single ; L2FocusBackSlash_System.Single ; BackSlash_System.Double
Maximo valor registrado ; Valor fotodiodo ; Posición final sobre la muestra X ; Posicion final sobre la muestra Y ; Tamaño del haz sobre la muestra ; Cantidad de desplazamientos ; Tipo de buscador ; Listado de valores de los controlables ; Listado de nombres de los controlables ; Posición seteada para la alineación X ; Posición seteada para la alineación Y ; Numeric value ; Numeric value ; Numeric value ; Numeric value ; Numeric value
0.7303336 ; 0.7299594 ; -0.0001204768 ; -0.0001205433 ; 2.181456E-06 ; 1048 ; Integral ; 0 ; 0 ; -0.25 ; -0.25 ; 0 ; 0.235 ; 0.315 ; 0.5049999 ; 0.04
0.7846635 ; 0.6486853 ; -0.0001225417 ; -0.0001225477 ; 2.349395E-06 ; 1048 ; Bayesiano ; 0 ; 0 ; -0.25 ; -0.25 ; 1 ; 0.1726518 ; 0.19836 ; 0.1475029 ; 0.04
0.9112649 ; 0.9129416 ; -9.042022E-05 ; -0.0001519642 ; 2.055009E-06 ; 1016 ; Integral ; 0 ; 0 ; -0.125 ; -0.25 ; 0 ; 0.175 ; 0.415 ; 0.6849999 ; 0.04
0.7609603 ; 0.3247366 ; 2.145593E-06 ; -0.0001225577 ; 2.345164E-06 ; 1016 ; Bayesiano ; 0 ; 0 ; -0.125 ; -0.25 ; 1 ; -0.1047553 ; 0.1931213 ; 0.1829147 ; 0.04
0.4356527 ; 0.4343179 ; 2.7695E-05 ; -9.477061E-05 ; 2.385503E-06 ; 1063 ; Integral ; 0 ; 0 ; 0 ; -0.25 ; 0 ; -0.2 ; -0.31 ; 0.135 ; 0.04
0.7760006 ; 0.3776755 ; 3.566014E-09 ; -9.860834E-05 ; 2.397743E-06 ; 1063 ; Bayesiano ; 0 ; 0 ; 0 ; -0.25 ; 1 ; -0.011602 ; 0.1739032 ; 0.1882399 ; 0.04
0.04623434 ; 0.04479786 ; 6.125034E-05 ; -8.176249E-05 ; 2.015755E-06 ; 1022 ; Integral ; 0 ; 0 ; 0.125 ; -0.25 ; 0 ; -2.577901E-08 ; 0.1499999 ; 0.975 ; 0.04
0.7384376 ; 0.7027308 ; 9.532091E-05 ; -0.0001225416 ; 2.390524E-06 ; 1022 ; Bayesiano ; 0 ; 0 ; 0.125 ; -0.25 ; 1 ; 0.06051138 ; 0.1575987 ; 0.1616822 ; 0.04
0.9633969 ; 0.9611752 ; 0.0001486353 ; -9.723026E-05 ; 2.021299E-06 ; 1059 ; Integral ; 0 ; 0 ; 0.25 ; -0.25 ; 0 ; -0.485 ; 0.04499996 ; 1 ; 0.04
0.7522919 ; 0.7120943 ; 0.0001225455 ; -0.0001225571 ; 2.359649E-06 ; 1059 ; Bayesiano ; 0 ; 0 ; 0.25 ; -0.25 ; 1 ; -0.1473681 ; 0.1846073 ; 0.1893938 ; 0.04
0.8860732 ; 0.8860039 ; 0.0001520996 ; -3.207942E-05 ; 2.02222E-06 ; 1108 ; Integral ; 0 ; 0 ; 0.25 ; -0.125 ; 0 ; -0.205 ; 0.04499995 ; 0.99 ; 0.04
0.7479854 ; 0.7137918 ; 0.0001175232 ; -6.126698E-05 ; 2.424316E-06 ; 1108 ; Bayesiano ; 0 ; 0 ; 0.25 ; -0.125 ; 1 ; -0.1852559 ; 0.0710539 ; 0.1567045 ; 0.04
0.9165255 ; 0.9170382 ; 9.232655E-05 ; -4.699858E-05 ; 2.055041E-06 ; 1020 ; Integral ; 0 ; 0 ; 0.125 ; -0.125 ; 0 ; 0.3649999 ; 0.115 ; 0.99 ; 0.04
0.7198615 ; 0.1011054 ; 6.121591E-05 ; -6.126078E-05 ; 2.180567E-06 ; 1020 ; Bayesiano ; 0 ; 0 ; 0.125 ; -0.125 ; 1 ; 0.1685942 ; 0.05329095 ; 0.1236825 ; 0.04
0.2497028 ; 0.2475827 ; -4.090312E-07 ; -5.373486E-05 ; 2.00037E-06 ; 1178 ; Integral ; 0 ; 0 ; 0 ; -0.125 ; 0 ; 0.4649999 ; -0.71 ; 0.525 ; 0.04
0.9873924 ; 0.03379114 ; 3.83216E-05 ; -2.293217E-05 ; 2.020965E-06 ; 1178 ; Bayesiano ; 0 ; 0 ; 0 ; -0.125 ; 1 ; -0.02827457 ; -0.1526302 ; -0.01193821 ; 0.04
0.5219301 ; 0.520974 ; -1.299548E-05 ; -1.309709E-05 ; 2.000996E-06 ; 1158 ; Integral ; 0 ; 0 ; -0.125 ; -0.125 ; 0 ; -0.75 ; -0.15 ; 0.03999996 ; 0.04
0.9820812 ; 0.001661771 ; -3.796941E-05 ; -6.12753E-05 ; 2.131074E-06 ; 1158 ; Bayesiano ; 0 ; 0 ; -0.125 ; -0.125 ; 1 ; -0.1642596 ; 0.1397256 ; 0.1109444 ; 0.04
0.6516278 ; 0.6489257 ; -0.0001471931 ; -8.563697E-05 ; 2.012198E-06 ; 898 ; Integral ; 0 ; 0 ; -0.25 ; -0.125 ; 0 ; 0.185 ; 0.105 ; 0.99 ; 0.04
0.7280499 ; 0.4317601 ; -0.0001225494 ; 1.704573E-05 ; 2.398017E-06 ; 898 ; Bayesiano ; 0 ; 0 ; -0.25 ; -0.125 ; 1 ; 0.18851 ; 0.1285168 ; 0.1602885 ; 0.04
0.4319152 ; 0.4289083 ; -9.537218E-05 ; 2.681799E-05 ; 2.351264E-06 ; 1212 ; Integral ; 0 ; 0 ; -0.25 ; 0 ; 0 ; -0.31 ; 0.185 ; 0.3149999 ; 0.04
0.724265 ; 0.05315965 ; -9.265134E-05 ; 2.986758E-05 ; 2.456131E-06 ; 1212 ; Bayesiano ; 0 ; 0 ; -0.25 ; 0 ; 1 ; 0.1850496 ; -0.001826049 ; 0.1780337 ; 0.04
0.983789 ; 0.9831377 ; -4.33129E-05 ; 1.650486E-05 ; 2.006594E-06 ; 1099 ; Integral ; 0 ; 0 ; -0.125 ; 0 ; 0 ; -0.99 ; 0.325 ; 0.5999999 ; 0.04
0.8605534 ; 0.00822564 ; -6.123463E-05 ; 2.133287E-05 ; 2.130989E-06 ; 1099 ; Bayesiano ; 0 ; 0 ; -0.125 ; 0 ; 1 ; -0.06001077 ; 0.01624516 ; 0.1139434 ; 0.04
0.001992308 ; 0.09902401 ; 2.856356E-07 ; 2.871468E-08 ; 2.008347E-06 ; 1120 ; Integral ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.9449999 ; 0.09499997 ; -0.185 ; 0.04
0.9866192 ; 0.6660444 ; 1.016501E-05 ; 1.016033E-05 ; 2.007108E-06 ; 1120 ; Bayesiano ; 0 ; 0 ; 0 ; 0 ; 1 ; 0.1628734 ; 0.1682251 ; -0.07950207 ; 0.04
0.3980368 ; 0.4000184 ; 7.638249E-05 ; 1.539459E-05 ; 2.239651E-06 ; 951 ; Integral ; 0 ; 0 ; 0.125 ; 0 ; 0 ; 0.99 ; 0.44 ; 0.26 ; 0.04
0.7094458 ; 0.01655748 ; 7.868292E-05 ; 1.747063E-05 ; 2.323684E-06 ; 951 ; Bayesiano ; 0 ; 0 ; 0.125 ; 0 ; 1 ; 0.1174807 ; 0.0638096 ; 0.1490339 ; 0.04
