Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_MaxVal ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_FotodiodoFinal ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_X_Pos_Real ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Y_Pos_Real ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Tam_Haz_Muestra ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Cdespla ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_TipoBusca ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Listado_Controlables_Valores ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Listado_Controlables_Nombres ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_X_Pos ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Y_Pos ; Buscador_System.Int32 ; Sim_Tilt_X_System.Single ; Sim_Tilt_Y_System.Single ; L2FocusBackSlash_System.Single ; BackSlash_System.Double
Maximo valor registrado ; Valor fotodiodo ; Posición final sobre la muestra X ; Posicion final sobre la muestra Y ; Tamaño del haz sobre la muestra ; Cantidad de desplazamientos ; Tipo de buscador ; Listado de valores de los controlables ; Listado de nombres de los controlables ; Posición seteada para la alineación X ; Posición seteada para la alineación Y ; Numeric value ; Numeric value ; Numeric value ; Numeric value ; Numeric value
0.02834325 ; 0.02045164 ; -9.709347E-05 ; -9.611605E-05 ; 3.782314E-06 ; 504 ; Integral ; 0 ; 0 ; -0.2 ; -0.2 ; 0 ; 0.115 ; -0.12 ; 0.07999997 ; 1E-06
0.0192921 ; 0.01693021 ; -5.002263E-05 ; -2.956543E-05 ; 2.013566E-06 ; 499 ; RandomSearch ; 0 ; 0 ; -0.2 ; -0.2 ; 2 ; 0.03741317 ; -0.09951141 ; 0.04006164 ; 1E-06
0.07347642 ; 0.07239857 ; -7.452058E-05 ; -8.332102E-05 ; 2.213369E-05 ; 1512 ; BigBung_BigCrunch ; 0 ; 0 ; -0.2 ; -0.2 ; 5 ; -0.9853493 ; -0.7097825 ; 0.3322594 ; 1E-06
0.01026341 ; 0.002959849 ; -4.716545E-05 ; -9.935061E-05 ; 1.801048E-05 ; 481 ; Integral ; 0 ; 0 ; -0.0999999985098839 ; -0.2 ; 0 ; -0.165 ; 0.02999997 ; 0.2749999 ; 1E-06
0.3444954 ; -3.127098E-05 ; 1.201364E-05 ; -9.541857E-05 ; 9.929048E-06 ; 474 ; RandomSearch ; 0 ; 0 ; -0.0999999985098839 ; -0.2 ; 2 ; 0.01020983 ; 0.05853288 ; -0.1228131 ; 1E-06
0.3565404 ; 0.3580427 ; -4.774184E-05 ; -9.020929E-05 ; 2.672731E-06 ; 1443 ; BigBung_BigCrunch ; 0 ; 0 ; -0.0999999985098839 ; -0.2 ; 5 ; -0.1641517 ; 0.9040841 ; 0.04111151 ; 1E-06
0.01682157 ; 0.01444212 ; -8.739704E-07 ; -9.400587E-05 ; 2.008765E-06 ; 443 ; Integral ; 0 ; 0 ; 2.9802322276673E-09 ; -0.2 ; 0 ; 0.6199999 ; 0.5 ; 0.01499997 ; 1E-06
0.1069379 ; 0.0001036441 ; 3.492413E-05 ; -7.695788E-05 ; 9.118702E-06 ; 436 ; RandomSearch ; 0 ; 0 ; 2.9802322276673E-09 ; -0.2 ; 2 ; -0.05014972 ; 0.06321 ; -0.1012912 ; 1E-06
0.06465947 ; 0.06288496 ; 1.430873E-05 ; -9.602496E-05 ; 2.231953E-05 ; 1329 ; BigBung_BigCrunch ; 0 ; 0 ; 2.9802322276673E-09 ; -0.2 ; 5 ; 0.9277886 ; -0.2077932 ; -0.3018476 ; 1E-06
0.006193732 ; 0.005752991 ; 4.774147E-05 ; -9.387099E-05 ; 2.002477E-06 ; 477 ; Integral ; 0 ; 0 ; 0.100000004470348 ; -0.2 ; 0 ; -0.255 ; 0.495 ; 0.00999997 ; 1E-06
0.003854279 ; -0.000585177 ; -7.926194E-07 ; -5.974068E-05 ; 2.009367E-06 ; 470 ; RandomSearch ; 0 ; 0 ; 0.100000004470348 ; -0.2 ; 2 ; 0.0667402 ; 0.1488898 ; 0.01339799 ; 1E-06
0.1110249 ; 0.110035 ; 5.250702E-05 ; -8.646675E-05 ; 1.386452E-05 ; 1431 ; BigBung_BigCrunch ; 0 ; 0 ; 0.100000004470348 ; -0.2 ; 5 ; -0.4680896 ; -0.6871129 ; 0.2080424 ; 1E-06
0.3371407 ; 0.2187333 ; 9.461054E-05 ; -9.39707E-05 ; 2.344619E-06 ; 451 ; Integral ; 0 ; 0 ; 0.200000005960464 ; -0.2 ; 0 ; 0.32 ; 0.445 ; -3.052875E-08 ; 1E-06
