Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_MaxVal ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_FotodiodoFinal ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_X_Pos_Real ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Y_Pos_Real ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Tam_Haz_Muestra ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Cdespla ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_TipoBusca ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Listado_Controlables_Valores ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Listado_Controlables_Nombres ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_X_Pos ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Y_Pos ; Buscador_System.Int32 ; Sim_Tilt_X_System.Single ; Sim_Tilt_Y_System.Single ; L2FocusBackSlash_System.Single ; BackSlash_System.Double
Maximo valor registrado ; Valor fotodiodo ; Posición final sobre la muestra X ; Posicion final sobre la muestra Y ; Tamaño del haz sobre la muestra ; Cantidad de desplazamientos ; Tipo de buscador ; Listado de valores de los controlables ; Listado de nombres de los controlables ; Posición seteada para la alineación X ; Posición seteada para la alineación Y ; Numeric value ; Numeric value ; Numeric value ; Numeric value ; Numeric value
0.07398394 ; 0.07360977 ; -0.0001227887 ; -6.085816E-05 ; 2.935826E-06 ; 1281 ; Integral ; 0 ; 0 ; -0.25 ; -0.25 ; 0 ; -0.31 ; -0.41 ; -0.69 ; 0.1
0.9480245 ; 0.7991043 ; -0.0001224176 ; -0.0001328523 ; 2.617077E-06 ; 1281 ; Bayesiano ; 0 ; 0 ; -0.25 ; -0.25 ; 1 ; 0.150258 ; 0.3059546 ; -0.3409902 ; 0.1
0.9179581 ; 0.767054 ; -6.12759E-05 ; -0.0001225135 ; 3.174281E-06 ; 1252 ; Integral ; 0 ; 0 ; -0.125 ; -0.25 ; 0 ; -0.01500004 ; -0.01000004 ; -1 ; 0.1
0.9161151 ; 0.7764634 ; -6.120249E-05 ; -0.0001223098 ; 2.761237E-06 ; 1252 ; Bayesiano ; 0 ; 0 ; -0.125 ; -0.25 ; 1 ; 0.05914851 ; 0.2517602 ; -0.4992526 ; 0.1
0.003562264 ; 0.2944242 ; 4.650942E-07 ; -0.0001222288 ; 2.73963E-06 ; 1175 ; Integral ; 0 ; 0 ; 0 ; -0.25 ; 0 ; 0.66 ; 0.385 ; -0.435 ; 0.1
0.9658545 ; 0.6949492 ; -7.355381E-06 ; -0.0001222703 ; 2.695612E-06 ; 1175 ; Bayesiano ; 0 ; 0 ; 0 ; -0.25 ; 1 ; 0.1565949 ; 0.3731537 ; -0.3755987 ; 0.1
0.6698388 ; 0.6696679 ; 6.382466E-05 ; -0.0001200061 ; 2.356135E-06 ; 1129 ; Integral ; 0 ; 0 ; 0.125 ; -0.25 ; 0 ; 0.03499997 ; 0.255 ; 0.14 ; 0.1
0.8958355 ; 0.007727079 ; 6.123791E-05 ; -8.749415E-05 ; 2.754675E-06 ; 1129 ; Bayesiano ; 0 ; 0 ; 0.125 ; -0.25 ; 1 ; -0.01334101 ; 0.3001643 ; -0.4763875 ; 0.1
0.9766989 ; 0.976528 ; 0.0001688736 ; -0.0001024523 ; 2.943047E-06 ; 1200 ; Integral ; 0 ; 0 ; 0.25 ; -0.25 ; 0 ; -0.635 ; 0.12 ; -0.985 ; 0.1
0.9875177 ; 0.2807408 ; 0.0001224538 ; -1.643375E-05 ; 2.637471E-06 ; 1200 ; Bayesiano ; 0 ; 0 ; 0.25 ; -0.25 ; 1 ; -0.1871451 ; 0.0904284 ; -0.3686256 ; 0.1
0.740213 ; 0.8587082 ; 0.0001223857 ; -6.130146E-05 ; 3.248988E-06 ; 1102 ; Integral ; 0 ; 0 ; 0.25 ; -0.125 ; 0 ; -0.07000005 ; -0.03000003 ; -1 ; 0.1
0.9825568 ; 0.7163567 ; 0.0001223774 ; -7.365245E-05 ; 2.851343E-06 ; 1102 ; Bayesiano ; 0 ; 0 ; 0.25 ; -0.125 ; 1 ; -0.1510419 ; 0.1959975 ; -0.4803956 ; 0.1
0.006959298 ; 0.005624448 ; 6.10736E-05 ; 3.325576E-05 ; 2.694092E-06 ; 1393 ; Integral ; 0 ; 0 ; 0.125 ; -0.125 ; 0 ; -0.14 ; 0.1249999 ; -0.96 ; 0.1
0.8664097 ; 0.004039844 ; 6.127061E-05 ; 7.222503E-06 ; 2.408205E-06 ; 1393 ; Bayesiano ; 0 ; 0 ; 0.125 ; -0.125 ; 1 ; 0.02797655 ; -0.09308947 ; -0.4037149 ; 0.1
0.0114691 ; 0.005865143 ; 8.954003E-07 ; -6.147414E-05 ; 2.651405E-06 ; 1230 ; Integral ; 0 ; 0 ; 0 ; -0.125 ; 0 ; 0.59 ; -0.15 ; -0.92 ; 0.1
0.9755998 ; 0.00407236 ; 6.022622E-05 ; -1.178493E-06 ; 2.264818E-06 ; 1230 ; Bayesiano ; 0 ; 0 ; 0 ; -0.125 ; 1 ; 0.02358418 ; -0.3401895 ; -0.2782671 ; 0.1
