Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_MaxVal ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_FotodiodoFinal ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_X_Pos_Real ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Y_Pos_Real ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Tam_Haz_Muestra ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Cdespla ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_TipoBusca ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Listado_Controlables_Valores ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Listado_Controlables_Nombres ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_X_Pos ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Y_Pos ; Buscador_System.Int32 ; Sim_Tilt_X_System.Single ; Sim_Tilt_Y_System.Single ; L2FocusBackSlash_System.Single ; BackSlash_System.Double
Maximo valor registrado ; Valor fotodiodo ; Posición final sobre la muestra X ; Posicion final sobre la muestra Y ; Tamaño del haz sobre la muestra ; Cantidad de desplazamientos ; Tipo de buscador ; Listado de valores de los controlables ; Listado de nombres de los controlables ; Posición seteada para la alineación X ; Posición seteada para la alineación Y ; Numeric value ; Numeric value ; Numeric value ; Numeric value ; Numeric value
0.1682926 ; 0.1680201 ; -0.0001224894 ; -4.51361E-05 ; 2.62898E-06 ; 1307 ; Integral ; 0 ; 0 ; -0.25 ; -0.25 ; 0 ; 0.04499996 ; -0.4150001 ; -0.295 ; 0.08
0.9583503 ; 0.003509416 ; -5.939E-05 ; -5.936669E-05 ; 2.377729E-06 ; 1307 ; Bayesiano ; 0 ; 0 ; -0.25 ; -0.25 ; 1 ; 0.03977006 ; 0.3440701 ; -0.3021433 ; 0.08
0.04619822 ; 0.04602732 ; 2.213138E-05 ; -3.893886E-05 ; 2.099272E-06 ; 1201 ; Integral ; 0 ; 0 ; -0.125 ; -0.25 ; 0 ; -0.06500005 ; 0.295 ; -0.475 ; 0.08
0.8735204 ; 0.6667346 ; -6.732429E-05 ; -0.0001284232 ; 2.729039E-06 ; 1201 ; Bayesiano ; 0 ; 0 ; -0.125 ; -0.25 ; 1 ; 0.1136237 ; 0.3287654 ; -0.4272875 ; 0.08
0.003062563 ; 0.002790031 ; 3.361654E-07 ; -8.468983E-05 ; 2.980121E-06 ; 1095 ; Integral ; 0 ; 0 ; 0 ; -0.25 ; 0 ; 0.25 ; 0.39 ; -0.9 ; 0.08
0.8955185 ; 0.3879618 ; 2.252004E-05 ; -9.984907E-05 ; 2.717439E-06 ; 1095 ; Bayesiano ; 0 ; 0 ; 0 ; -0.25 ; 1 ; 0.0898826 ; 0.3585364 ; -0.4403842 ; 0.08
0.8441779 ; 0.4930549 ; 6.074078E-05 ; -0.0001218212 ; 3.16849E-06 ; 1328 ; Integral ; 0 ; 0 ; 0.125 ; -0.25 ; 0 ; -0.325 ; 0.4399999 ; -0.95 ; 0.08
0.8564599 ; 0.04005577 ; 6.123583E-05 ; -6.121424E-05 ; 2.420486E-06 ; 1328 ; Bayesiano ; 0 ; 0 ; 0.125 ; -0.25 ; 1 ; -0.0207277 ; 0.2629188 ; -0.4959792 ; 0.08
0.9551332 ; 0.9568099 ; 0.0001819314 ; -6.22805E-05 ; 2.913572E-06 ; 1372 ; Integral ; 0 ; 0 ; 0.25 ; -0.25 ; 0 ; -0.4950001 ; 0.03499995 ; -0.97 ; 0.08
0.974358 ; 0.7710715 ; 0.0001222994 ; -8.544269E-05 ; 2.801511E-06 ; 1372 ; Bayesiano ; 0 ; 0 ; 0.25 ; -0.25 ; 1 ; -0.2726854 ; 0.1100405 ; -0.4472965 ; 0.08
0.9386033 ; 0.6431504 ; 0.0001217338 ; -6.132703E-05 ; 3.254852E-06 ; 1297 ; Integral ; 0 ; 0 ; 0.25 ; -0.125 ; 0 ; -0.47 ; -0.04500003 ; -1 ; 0.08
0.9844073 ; 0.7882194 ; 0.0001295542 ; -5.394047E-05 ; 2.807441E-06 ; 1297 ; Bayesiano ; 0 ; 0 ; 0.25 ; -0.125 ; 1 ; -0.2268832 ; 0.08904881 ; -0.4559276 ; 0.08
0.4952645 ; 0.1363006 ; 6.114809E-05 ; -6.158266E-05 ; 2.8635E-06 ; 1139 ; Integral ; 0 ; 0 ; 0.125 ; -0.125 ; 0 ; -0.06500003 ; -0.2 ; -1 ; 0.08
0.8207849 ; 0.5247202 ; 0.0001219029 ; -6.224626E-07 ; 2.842674E-06 ; 1139 ; Bayesiano ; 0 ; 0 ; 0.125 ; -0.125 ; 1 ; -0.1013284 ; 0.1055592 ; -0.420496 ; 0.08
0.1724473 ; 0.1744289 ; 8.503751E-05 ; 2.387982E-05 ; 3.193139E-06 ; 1115 ; Integral ; 0 ; 0 ; 0 ; -0.125 ; 0 ; -2.771616E-08 ; 0.06499997 ; -0.955 ; 0.08
0.9872662 ; 0.01186335 ; -5.232572E-09 ; -6.530184E-05 ; 2.117294E-06 ; 1115 ; Bayesiano ; 0 ; 0 ; 0 ; -0.125 ; 1 ; 0.02142634 ; -0.3668801 ; 0.1358766 ; 0.08
0.4451749 ; 0.4424729 ; -2.52286E-05 ; -2.512653E-05 ; 2.030562E-06 ; 1190 ; Integral ; 0 ; 0 ; -0.125 ; -0.125 ; 0 ; -0.205 ; 0.195 ; -0.23 ; 0.08
0.9707891 ; 0.3421263 ; -6.154335E-05 ; -7.722295E-05 ; 2.613338E-06 ; 1190 ; Bayesiano ; 0 ; 0 ; -0.125 ; -0.125 ; 1 ; -0.4407725 ; -0.4597386 ; -0.4108143 ; 0.08
0.2242243 ; 0.2222691 ; -0.0001228763 ; -4.074009E-05 ; 3.198452E-06 ; 1170 ; Integral ; 0 ; 0 ; -0.25 ; -0.125 ; 0 ; -0.26 ; -0.185 ; -0.935 ; 0.08
0.9227231 ; 8.55596E-05 ; -8.536028E-05 ; -6.120088E-05 ; 2.769692E-06 ; 1170 ; Bayesiano ; 0 ; 0 ; -0.25 ; -0.125 ; 1 ; 0.4469654 ; 0.06997306 ; -0.4888794 ; 0.08
0.131184 ; 0.1289657 ; -7.980647E-05 ; 4.322261E-05 ; 3.06396E-06 ; 1243 ; Integral ; 0 ; 0 ; -0.25 ; 0 ; 0 ; -0.21 ; -0.02500004 ; -1 ; 0.08
0.9425687 ; 0.7038403 ; -0.000122176 ; -1.045492E-08 ; 2.793536E-06 ; 1243 ; Bayesiano ; 0 ; 0 ; -0.25 ; 0 ; 1 ; 0.4873906 ; -0.0142132 ; -0.4838034 ; 0.08
0.02427477 ; 0.02157271 ; -3.765571E-05 ; 2.365912E-05 ; 2.026695E-06 ; 1215 ; Integral ; 0 ; 0 ; -0.125 ; 0 ; 0 ; 0.08499996 ; -0.165 ; 0.06499997 ; 0.08
0.9828139 ; -0.001377933 ; 1.954825E-05 ; 8.078497E-05 ; 3.333928E-06 ; 1215 ; Bayesiano ; 0 ; 0 ; -0.125 ; 0 ; 1 ; 0.1284598 ; 0.2426476 ; -0.2034982 ; 0.08
0.6809491 ; 0.678829 ; 2.878988E-05 ; 2.86998E-05 ; 2.133669E-06 ; 1084 ; Integral ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.4449999 ; 0.2749999 ; -0.38 ; 0.08
0.9971489 ; 0.1522073 ; 9.249748E-05 ; -7.433448E-08 ; 2.439199E-06 ; 1084 ; Bayesiano ; 0 ; 0 ; 0 ; 0 ; 1 ; -0.06862735 ; 0.2190189 ; 0.01797184 ; 0.08
0.07649459 ; 0.07688855 ; 7.804685E-05 ; 4.134162E-05 ; 2.836164E-06 ; 1154 ; Integral ; 0 ; 0 ; 0.125 ; 0 ; 0 ; 0.19 ; 0.2149999 ; -0.66 ; 0.08
0.8134348 ; 0.0002772954 ; 6.11857E-05 ; 4.718013E-08 ; 2.360264E-06 ; 1154 ; Bayesiano ; 0 ; 0 ; 0.125 ; 0 ; 1 ; -0.1191284 ; 0.08426367 ; -0.3340462 ; 0.08
0.9837933 ; 0.6147876 ; 0.0001216954 ; 0 ; 3.308367E-06 ; 1325 ; Integral ; 0 ; 0 ; 0.25 ; 0 ; 0 ; -0.495 ; -4.470348E-08 ; -1 ; 0.08
0.9713955 ; 0.7647907 ; 0.0001223808 ; 9.822272E-06 ; 2.835431E-06 ; 1325 ; Bayesiano ; 0 ; 0 ; 0.25 ; 0 ; 1 ; -0.1757945 ; 0.01487341 ; -0.4077436 ; 0.08
