Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_MaxVal ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_FotodiodoFinal ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_X_Pos_Real ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Y_Pos_Real ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Tam_Haz_Muestra ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Cdespla ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_TipoBusca ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Listado_Controlables_Valores ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Listado_Controlables_Nombres ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_X_Pos ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Y_Pos ; Buscador_System.Int32 ; Sim_Tilt_X_System.Single ; Sim_Tilt_Y_System.Single ; L2FocusBackSlash_System.Single ; BackSlash_System.Double
Maximo valor registrado ; Valor fotodiodo ; Posición final sobre la muestra X ; Posicion final sobre la muestra Y ; Tamaño del haz sobre la muestra ; Cantidad de desplazamientos ; Tipo de buscador ; Listado de valores de los controlables ; Listado de nombres de los controlables ; Posición seteada para la alineación X ; Posición seteada para la alineación Y ; Numeric value ; Numeric value ; Numeric value ; Numeric value ; Numeric value
0.6956822 ; 0.6962965 ; -5.609871E-05 ; -0.0001024011 ; 2.737044E-06 ; 1125 ; Integral ; 0 ; 0 ; -0.25 ; -0.25 ; 0 ; 0.1399999 ; 0.06999998 ; -0.38 ; 0.05
0.8668759 ; 0.7527351 ; -0.0001223318 ; -9.361399E-05 ; 2.840651E-06 ; 1125 ; Bayesiano ; 0 ; 0 ; -0.25 ; -0.25 ; 1 ; 0.214152 ; 0.3103172 ; -0.4888523 ; 0.05
0.5753028 ; 0.5763975 ; -2.006381E-05 ; -0.0001258971 ; 3.150801E-06 ; 1099 ; Integral ; 0 ; 0 ; -0.125 ; -0.25 ; 0 ; -0.105 ; 0.08499996 ; -0.99 ; 0.05
0.8385121 ; 0.8057963 ; -4.92358E-05 ; -0.0001223005 ; 2.751687E-06 ; 1099 ; Bayesiano ; 0 ; 0 ; -0.125 ; -0.25 ; 1 ; -0.01625927 ; 0.2628608 ; -0.4828509 ; 0.05
0.7398878 ; 0.6707999 ; 3.055601E-07 ; -0.0001223097 ; 3.17293E-06 ; 1235 ; Integral ; 0 ; 0 ; 0 ; -0.25 ; 0 ; 0.185 ; 0.115 ; -0.995 ; 0.05
0.8412384 ; 0.776744 ; -3.411954E-08 ; -0.0001222329 ; 2.747281E-06 ; 1235 ; Bayesiano ; 0 ; 0 ; 0 ; -0.25 ; 1 ; -0.04554227 ; 0.3635393 ; -0.4436601 ; 0.05
0.03723896 ; 0.9270056 ; 6.132703E-05 ; -0.0001221428 ; 3.210042E-06 ; 1226 ; Integral ; 0 ; 0 ; 0.125 ; -0.25 ; 0 ; 0.04499996 ; 0.215 ; -1 ; 0.05
0.8374519 ; 0.7107836 ; 0.0001059875 ; -0.0001222424 ; 2.825479E-06 ; 1226 ; Bayesiano ; 0 ; 0 ; 0.125 ; -0.25 ; 1 ; -0.0210388 ; 0.3180506 ; -0.4926987 ; 0.05
0.79707 ; 0.7960122 ; 0.0001225235 ; -0.0001222235 ; 2.783389E-06 ; 1147 ; Integral ; 0 ; 0 ; 0.25 ; -0.25 ; 0 ; -0.18 ; 0.155 ; -0.57 ; 0.05
0.9242672 ; 0.08659732 ; 0.0001079367 ; -0.0001223614 ; 2.843213E-06 ; 1147 ; Bayesiano ; 0 ; 0 ; 0.25 ; -0.25 ; 1 ; -0.3595092 ; 0.1605883 ; -0.4893936 ; 0.05
