Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_MaxVal ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_FotodiodoFinal ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_X_Pos_Real ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Y_Pos_Real ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Tam_Haz_Muestra ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Cdespla ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_TipoBusca ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Listado_Controlables_Valores ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Listado_Controlables_Nombres ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_X_Pos ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Y_Pos ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Distancia_Recorrida ; Buscador_System.Int32 ; Sim_Tilt_X_System.Single ; Sim_Tilt_Y_System.Single ; L2FocusBackSlash_System.Single ; BackSlash_System.Double
Maximo valor registrado ; Valor fotodiodo ; Posición final sobre la muestra X ; Posicion final sobre la muestra Y ; Tamaño del haz sobre la muestra ; Cantidad de desplazamientos ; Tipo de buscador ; Listado de valores de los controlables ; Listado de nombres de los controlables ; Posición seteada para la alineación X ; Posición seteada para la alineación Y ; Indica cuanta fue la distancia que se desplazó desdee que inició el algoritmo hasta que terminó. ; Numeric value ; Numeric value ; Numeric value ; Numeric value ; Numeric value
0.001964752 ; -0.0008448675 ; -9.778158E-05 ; -9.768265E-05 ; 3.392631E-06 ; 558 ; Integral ; 0 ; 0 ; -0.2 ; -0.2 ; 0.00212496314106551 ; 0 ; -0.4 ; -0.16 ; -0.25 ; 0.09
0.4176469 ; -0.001095403 ; -2.392802E-05 ; -4.690126E-05 ; 2.908012E-06 ; 557 ; RandomSearch ; 0 ; 0 ; -0.2 ; -0.2 ; 0.0288245286890446 ; 2 ; -0.03684326 ; -0.1097305 ; -0.03783371 ; 0.09
0.1956947 ; 0.1950007 ; -0.0001202987 ; -0.0001198702 ; 2.90511E-06 ; 558 ; BigBung_BigCrunch ; 0 ; 0 ; -0.2 ; -0.2 ; 0 ; 5 ; 0.7460585 ; -0.7996029 ; 0.1586191 ; 0.09
0.002546813 ; -0.0004277695 ; -4.947356E-05 ; -9.776642E-05 ; 2.564964E-06 ; 543 ; Integral ; 0 ; 0 ; -0.0999999985098839 ; -0.2 ; 0.0740800300513812 ; 0 ; 0.375 ; -0.19 ; -0.475 ; 0.09
0.1908462 ; -0.000998101 ; -1.353191E-05 ; -6.33204E-05 ; 2.152371E-06 ; 543 ; RandomSearch ; 0 ; 0 ; -0.0999999985098839 ; -0.2 ; 0.0361118880155785 ; 2 ; -0.1068737 ; 0.1290034 ; 0.1470191 ; 0.09
0.5097861 ; 0.00126907 ; -4.795816E-05 ; -9.744526E-05 ; 2.406963E-06 ; 543 ; BigBung_BigCrunch ; 0 ; 0 ; -0.0999999985098839 ; -0.2 ; 0 ; 5 ; -0.2921023 ; 0.4737065 ; -0.2233824 ; 0.09
0.001867032 ; 0.001215788 ; 2.238051E-07 ; -9.77037E-05 ; 2.26075E-06 ; 534 ; Integral ; 0 ; 0 ; 2.9802322276673E-09 ; -0.2 ; 0.0611569229592583 ; 0 ; 0.515 ; -0.2 ; -0.265 ; 0.09
0.4382164 ; 0.002484618 ; -4.2544E-05 ; -9.759169E-05 ; 2.331295E-06 ; 534 ; RandomSearch ; 0 ; 0 ; 2.9802322276673E-09 ; -0.2 ; 0.0338235020634798 ; 2 ; 0.04682881 ; 0.1211518 ; -0.1279026 ; 0.09
0.5162952 ; 0.2305445 ; 1.321118E-07 ; -0.0001403385 ; 2.954112E-06 ; 534 ; BigBung_BigCrunch ; 0 ; 0 ; 2.9802322276673E-09 ; -0.2 ; 0 ; 5 ; 0.8278807 ; -0.8468201 ; -0.09852676 ; 0.09
0.001986331 ; -0.0009174101 ; 4.966309E-05 ; -9.778202E-05 ; 2.038279E-06 ; 542 ; Integral ; 0 ; 0 ; 0.100000004470348 ; -0.2 ; 0.0686634842214545 ; 0 ; 0.33 ; 0.53 ; 0.19 ; 0.09
0.4031548 ; 0.008546358 ; 7.313085E-05 ; -9.760911E-05 ; 2.416922E-06 ; 542 ; RandomSearch ; 0 ; 0 ; 0.100000004470348 ; -0.2 ; 0.0390956448432654 ; 2 ; -0.1320394 ; 0.1040394 ; -0.04574617 ; 0.09
0.9414337 ; -0.0002490301 ; 4.865212E-05 ; -8.788493E-05 ; 2.452629E-06 ; 543 ; BigBung_BigCrunch ; 0 ; 0 ; 0.100000004470348 ; -0.2 ; 0 ; 5 ; 0.9100924 ; -0.3925072 ; -0.5582377 ; 0.09
0.001945093 ; -0.000986774 ; 0.000160062 ; -3.516224E-05 ; 2.191003E-06 ; 530 ; Integral ; 0 ; 0 ; 0.200000005960464 ; -0.2 ; 0.0672760703921456 ; 0 ; -0.09000003 ; -0.335 ; -0.55 ; 0.09
0.781718 ; 0.001978722 ; 0.0001150038 ; -9.402885E-06 ; 2.31476E-06 ; 526 ; RandomSearch ; 0 ; 0 ; 0.200000005960464 ; -0.2 ; 0.0204695775020237 ; 2 ; 0.1368367 ; -0.1264411 ; -0.008663191 ; 0.09
0.4647211 ; -0.0006838887 ; 0.000114352 ; -9.64618E-05 ; 3.364151E-06 ; 531 ; BigBung_BigCrunch ; 0 ; 0 ; 0.200000005960464 ; -0.2 ; 0 ; 5 ; -0.8324648 ; 0.7353836 ; -0.9560845 ; 0.09
0.003057254 ; 0.003320685 ; 9.949121E-05 ; -7.167225E-05 ; 2.720728E-06 ; 519 ; Integral ; 0 ; 0 ; 0.200000005960464 ; -0.0999999985098839 ; 0.0676886793309281 ; 0 ; -0.36 ; 0.2099999 ; -0.02500003 ; 0.09
