Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_MaxVal ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_FotodiodoFinal ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_X_Pos_Real ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Y_Pos_Real ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Tam_Haz_Muestra ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Cdespla ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_TipoBusca ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Listado_Controlables_Valores ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Listado_Controlables_Nombres ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_X_Pos ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Y_Pos ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Distancia_Recorrida ; Buscador_System.Int32 ; Sim_Tilt_X_System.Single ; Sim_Tilt_Y_System.Single ; L2FocusBackSlash_System.Single ; BackSlash_System.Double
Maximo valor registrado ; Valor fotodiodo ; Posición final sobre la muestra X ; Posicion final sobre la muestra Y ; Tamaño del haz sobre la muestra ; Cantidad de desplazamientos ; Tipo de buscador ; Listado de valores de los controlables ; Listado de nombres de los controlables ; Posición seteada para la alineación X ; Posición seteada para la alineación Y ; Indica cuanta fue la distancia que se desplazó desdee que inició el algoritmo hasta que terminó. ; Numeric value ; Numeric value ; Numeric value ; Numeric value ; Numeric value
0.005734737 ; 0.003513021 ; -9.718169E-05 ; -4.758457E-05 ; 2.316523E-06 ; 503 ; Integral ; 0 ; 0 ; -0.2 ; -0.2 ; 0.00200068285230813 ; 0 ; 0.575 ; -0.02500004 ; -0.5650001 ; 0.065
0.4184889 ; -0.0004655509 ; -5.553376E-05 ; -9.760732E-05 ; 2.289634E-06 ; 503 ; Bayesiano ; 0 ; 0 ; -0.2 ; -0.2 ; 0.0251272236672448 ; 1 ; -0.1271285 ; 0.1275488 ; -0.04864749 ; 0.065
0.2620202 ; -0.0009782842 ; -9.76189E-05 ; -7.762436E-05 ; 2.503943E-06 ; 243 ; GlobalizedBoundedNelderMead ; 0 ; 0 ; -0.2 ; -0.2 ; 0.0102099436004975 ; 4 ; -0.08917119 ; 0.02809363 ; -0.009779529 ; 0.065
0.678268 ; 0.0013606 ; -9.758025E-05 ; -9.758025E-05 ; 3.307048E-06 ; 500 ; ParticleSwarm ; 0 ; 0 ; -0.2 ; -0.2 ; 0.0191909216642615 ; 3 ; 0.15 ; 0.15 ; -0.15 ; 0.065
0.3633734 ; 0.000364559 ; -9.954801E-05 ; -9.759984E-05 ; 3.269976E-06 ; 503 ; RandomSearch ; 0 ; 0 ; -0.2 ; -0.2 ; 0.0319409019859374 ; 2 ; -0.109434 ; 0.1150187 ; -0.09398767 ; 0.065
0.06455676 ; 0.0007004795 ; -6.499222E-05 ; -6.704203E-05 ; 2.291177E-06 ; 504 ; BigBung_BigCrunch ; 0 ; 0 ; -0.2 ; -0.2 ; 0 ; 5 ; -0.6134222 ; -0.2425079 ; 0.3468622 ; 0.065
0.1935202 ; -0.0008683731 ; -6.584812E-05 ; -6.787045E-05 ; 2.869397E-06 ; 504 ; Fireworks ; 0 ; 0 ; -0.2 ; -0.2 ; 0 ; 6 ; -0.6738511 ; -0.7973343 ; -0.5465052 ; 0.065
0.001955051 ; -0.0007128556 ; -5.14606E-06 ; -5.489759E-05 ; 2.213251E-06 ; 509 ; Integral ; 0 ; 0 ; -0.0999999985098839 ; -0.2 ; 0.113172253148113 ; 0 ; -0.06000003 ; -0.185 ; -0.26 ; 0.065
0.5132961 ; -0.001365139 ; -2.563214E-06 ; -5.236944E-05 ; 2.123043E-06 ; 509 ; Bayesiano ; 0 ; 0 ; -0.0999999985098839 ; -0.2 ; 0.0240367084642647 ; 1 ; 0.05995385 ; -0.01912107 ; 0.1421753 ; 0.065
