"Time","Value","WithError","Extra"
"2023/10/05 14:15:00 6436","-0.0720000043511391","False",""
"2023/10/05 14:15:00 7990","-0.0670000016689301","False",""
"2023/10/05 14:15:00 9516","-0.0620000027120113","False",""
"2023/10/05 14:15:01 1098","-0.0570000037550926","False",""
"2023/10/05 14:15:01 2725","-0.0520000047981739","False",""
"2023/10/05 14:15:01 4198","-0.0470000058412552","False",""
"2023/10/05 14:15:01 5714","-0.0420000031590462","False",""
"2023/10/05 14:15:01 7226","-0.0370000042021275","False",""
"2023/10/05 14:15:01 8937","-0.0320000052452087","False",""
"2023/10/05 14:15:02 0546","-0.0270000044256449","False",""
"2023/10/05 14:15:02 2229","-0.0220000054687262","False",""
"2023/10/05 14:15:02 3775","-0.0170000046491623","False",""
"2023/10/05 14:15:02 5471","-0.012000004760921","False",""
"2023/10/05 14:15:02 7015","-0.007000005338341","False",""
"2023/10/05 14:15:02 8508","-0.00200000545009971","False",""
"2023/10/05 14:15:03 0124","0.00299999443814158","False",""
"2023/10/05 14:15:03 1877","0.00799999479204416","False",""
"2023/10/05 14:15:03 3508","0.0129999946802855","False",""
"2023/10/05 14:15:03 5044","0.0179999936372042","False",""
"2023/10/05 14:15:03 6729","0.022999994456768","False",""
"2023/10/05 14:15:03 8334","0.0279999934136868","False",""
"2023/10/05 14:15:03 9811","0.0329999923706055","False",""
"2023/10/05 14:15:04 1316","0.0379999950528145","False",""
"2023/10/05 14:15:04 2993","0.0429999940097332","False",""
"2023/10/05 14:15:04 4617","0.0479999929666519","False",""
"2023/10/05 14:15:04 6284","0.0529999919235706","False",""
"2023/10/05 14:15:04 7775","0.0579999946057796","False",""
"2023/10/05 14:15:04 9350","0.0629999935626984","False",""
"2023/10/05 14:15:05 0927","0.0679999962449074","False",""
"2023/10/05 14:15:05 2571","0.0729999914765358","False",""
"2023/10/05 14:15:05 4070","0.0779999941587448","False",""
"2023/10/05 14:15:05 5670","0.0829999893903732","False",""
"2023/10/05 14:15:05 7168","0.0879999920725822","False",""
"2023/10/05 14:15:05 8819","0.0929999947547913","False",""
"2023/10/05 14:15:06 0402","0.0979999899864197","False",""
"2023/10/05 14:15:06 2154","0.102999992668629","False",""
"2023/10/05 14:15:06 3806","0.107999995350838","False",""
"2023/10/05 14:15:06 6777","0.0379999950528145","False",""
"2023/10/05 14:15:06 8094","0.0369999967515469","False",""
"2023/10/05 14:15:06 9410","0.0359999947249889","False",""
"2023/10/05 14:15:07 0743","0.0349999964237213","False",""
"2023/10/05 14:15:07 2147","0.0339999943971634","False",""
"2023/10/05 14:15:07 3352","0.0329999960958958","False",""
"2023/10/05 14:15:07 4591","0.0319999940693378","False",""
"2023/10/05 14:15:07 5812","0.0309999957680702","False",""
"2023/10/05 14:15:07 7106","0.0299999956041574","False",""
"2023/10/05 14:15:07 8288","0.0289999954402447","False",""
"2023/10/05 14:15:07 9524","0.0279999952763319","False",""
"2023/10/05 14:15:08 0881","0.0269999951124191","False",""
"2023/10/05 14:15:08 2120","0.0259999949485064","False",""
"2023/10/05 14:15:08 3409","0.0249999947845936","False",""
"2023/10/05 14:15:08 4811","0.023999996483326","False",""
"2023/10/05 14:15:08 6092","0.0229999963194132","False",""
"2023/10/05 14:15:08 7413","0.0219999961555004","False",""
"2023/10/05 14:15:08 8643","0.0209999959915876","False",""
"2023/10/05 14:15:09 0116","0.0199999958276749","False",""
"2023/10/05 14:15:09 1550","0.0189999956637621","False",""
"2023/10/05 14:15:09 2983","0.0179999954998493","False",""
"2023/10/05 14:15:09 4397","0.0169999953359365","False",""
"2023/10/05 14:15:21 3976","0.00799999665468931","False",""
