"Time","Value","WithError","Extra"
"2023/10/05 14:15:10 5821","-0.0630000084638596","False",""
"2023/10/05 14:15:10 7393","-0.0580000057816505","False",""
"2023/10/05 14:15:10 8906","-0.0530000068247318","False",""
"2023/10/05 14:15:11 0409","-0.0480000041425228","False",""
"2023/10/05 14:15:11 1944","-0.0430000051856041","False",""
"2023/10/05 14:15:11 3465","-0.0380000062286854","False",""
"2023/10/05 14:15:11 4973","-0.0330000072717667","False",""
"2023/10/05 14:15:11 6583","-0.0280000064522028","False",""
"2023/10/05 14:15:11 8132","-0.0230000056326389","False",""
"2023/10/05 14:15:11 9814","-0.0180000066757202","False",""
"2023/10/05 14:15:12 1413","-0.0130000058561563","False",""
"2023/10/05 14:15:12 3099","-0.00800000596791506","False",""
"2023/10/05 14:15:12 4646","-0.00300000654533505","False",""
"2023/10/05 14:15:12 6400","0.00199999334290624","False",""
"2023/10/05 14:15:12 7935","0.00699999323114753","False",""
"2023/10/05 14:15:12 9503","0.0119999935850501","False",""
"2023/10/05 14:15:13 1167","0.0169999934732914","False",""
"2023/10/05 14:15:13 2897","0.0219999924302101","False",""
"2023/10/05 14:15:13 4423","0.026999993249774","False",""
"2023/10/05 14:15:13 5900","0.0319999940693378","False",""
"2023/10/05 14:15:13 7513","0.0369999930262566","False",""
"2023/10/05 14:15:13 9009","0.0419999919831753","False",""
"2023/10/05 14:15:14 0520","0.046999990940094","False",""
"2023/10/05 14:15:14 2208","0.051999993622303","False",""
"2023/10/05 14:15:14 3887","0.0569999925792217","False",""
"2023/10/05 14:15:14 5574","0.0619999915361404","False",""
"2023/10/05 14:15:14 7114","0.0669999942183495","False",""
"2023/10/05 14:15:14 8693","0.0719999894499779","False",""
"2023/10/05 14:15:15 0278","0.0769999921321869","False",""
"2023/10/05 14:15:15 1818","0.0819999948143959","False",""
"2023/10/05 14:15:15 3324","0.0869999900460243","False",""
"2023/10/05 14:15:15 4929","0.0919999927282333","False",""
"2023/10/05 14:15:15 6540","0.0969999879598618","False",""
"2023/10/05 14:15:15 8220","0.101999990642071","False",""
"2023/10/05 14:15:15 9853","0.10699999332428","False",""
"2023/10/05 14:15:16 1449","0.111999988555908","False",""
"2023/10/05 14:15:16 4135","0.0569999925792217","False",""
"2023/10/05 14:15:16 5537","0.0559999942779541","False",""
"2023/10/05 14:15:16 6971","0.0549999922513962","False",""
"2023/10/05 14:15:16 8481","0.0539999939501286","False",""
"2023/10/05 14:15:16 9757","0.0529999956488609","False",""
"2023/10/05 14:15:17 1163","0.051999993622303","False",""
"2023/10/05 14:15:17 2443","0.0509999953210354","False",""
"2023/10/05 14:15:17 3725","0.0499999932944775","False",""
"2023/10/05 14:15:17 5139","0.0489999949932098","False",""
"2023/10/05 14:15:17 6447","0.0479999929666519","False",""
"2023/10/05 14:15:17 7709","0.0469999946653843","False",""
"2023/10/05 14:15:17 9131","0.0459999926388264","False",""
"2023/10/05 14:15:18 0551","0.0449999943375587","False",""
"2023/10/05 14:15:18 2105","0.0439999923110008","False",""
"2023/10/05 14:15:18 3448","0.0429999940097332","False",""
"2023/10/05 14:15:18 5033","0.0419999957084656","False",""
"2023/10/05 14:15:18 6583","0.0409999936819077","False",""
"2023/10/05 14:15:18 7954","0.03999999538064","False",""
"2023/10/05 14:15:18 9198","0.0389999933540821","False",""
"2023/10/05 14:15:19 0526","0.0379999950528145","False",""
"2023/10/05 14:15:19 1803","0.0369999930262566","False",""
"2023/10/05 14:15:19 3097","0.0359999947249889","False",""
"2023/10/05 14:15:19 4491","0.034999992698431","False",""
"2023/10/05 14:15:19 5832","0.0339999943971634","False",""
"2023/10/05 14:15:19 7365","0.0329999923706055","False",""
"2023/10/05 14:15:19 8893","0.0319999940693378","False",""
"2023/10/05 14:15:20 0272","0.0309999939054251","False",""
"2023/10/05 14:15:20 1804","0.0299999937415123","False",""
"2023/10/05 14:15:20 3260","0.0289999935775995","False",""
"2023/10/05 14:15:20 4713","0.0279999934136868","False",""
"2023/10/05 14:15:20 6046","0.026999993249774","False",""
"2023/10/05 14:15:20 7370","0.0259999949485064","False",""
"2023/10/05 14:15:20 8723","0.0249999947845936","False",""
"2023/10/05 14:15:21 0098","0.0239999946206808","False",""
"2023/10/05 14:15:21 1571","0.022999994456768","False",""
"2023/10/05 14:15:21 2862","0.0219999942928553","False",""
"2023/10/05 14:15:21 5726","0.012999995611608","False",""
