"Time","Value","WithError","Extra"
"2023/10/05 14:14:47 6294","-0.000466500001493841","False",""
"2023/10/05 14:14:47 7923","-0.000285607355181128","False",""
"2023/10/05 14:14:47 9500","0.000558607338462025","False",""
"2023/10/05 14:14:48 1200","0.000980696291662753","False",""
"2023/10/05 14:14:48 2907","0.00155355362221599","False",""
"2023/10/05 14:14:48 4589","0.00366405374370515","False",""
"2023/10/05 14:14:48 6218","0.00203594635240734","False",""
"2023/10/05 14:14:48 7868","0.00263894628733397","False",""
"2023/10/05 14:14:48 9488","0.00900060776621103","False",""
"2023/10/05 14:14:49 1086","0.0243771076202393","False",""
"2023/10/05 14:14:49 2708","0.0332713574171066","False",""
"2023/10/05 14:14:49 4258","0.0490096434950829","False",""
"2023/10/05 14:14:49 5790","0.0619138479232788","False",""
"2023/10/05 14:14:49 7326","0.0665569454431534","False",""
"2023/10/05 14:14:49 8899","0.0724060535430908","False",""
"2023/10/05 14:14:50 0476","0.0912196487188339","False",""
"2023/10/05 14:14:50 2088","0.101711846888065","False",""
"2023/10/05 14:14:50 3655","0.0998425558209419","False",""
"2023/10/05 14:14:50 5191","0.109219193458557","False",""
"2023/10/05 14:14:50 6649","0.116033099591732","False",""
"2023/10/05 14:14:50 8194","0.12079680711031","False",""
"2023/10/05 14:14:50 9855","0.125349447131157","False",""
"2023/10/05 14:14:51 1529","0.115249194204807","False",""
"2023/10/05 14:14:51 3110","0.127761453390121","False",""
"2023/10/05 14:14:51 4696","0.132374405860901","False",""
"2023/10/05 14:14:51 6256","0.119832001626492","False",""
"2023/10/05 14:14:51 7917","0.119409903883934","False",""
"2023/10/05 14:14:51 9581","0.122846998274326","False",""
"2023/10/05 14:14:52 1222","0.124053001403809","False",""
"2023/10/05 14:14:52 2943","0.121791750192642","False",""
"2023/10/05 14:14:52 4609","0.11699790507555","False",""
"2023/10/05 14:14:52 6219","0.115158751606941","False",""
"2023/10/05 14:14:52 7699","0.0950185507535934","False",""
"2023/10/05 14:14:52 9183","0.0776219964027405","False",""
"2023/10/05 14:14:53 0805","0.0732804015278816","False",""
"2023/10/05 14:14:53 2360","0.0630294010043144","False",""
"2023/10/05 14:14:53 3981","0.0383365526795387","False",""
"2023/10/05 14:14:53 5592","0.031582947820425","False",""
"2023/10/05 14:14:53 7066","0.0228394456207752","False",""
"2023/10/05 14:14:53 9029","0.071682445704937","False",""
"2023/10/05 14:14:54 0307","0.0645971968770027","False",""
"2023/10/05 14:14:54 1576","0.0711397528648376","False",""
"2023/10/05 14:14:54 2819","0.0686071515083313","False",""
"2023/10/05 14:14:54 4122","0.0657429024577141","False",""
"2023/10/05 14:14:54 5478","0.0742150545120239","False",""
"2023/10/05 14:14:54 6777","0.06719009578228","False",""
"2023/10/05 14:14:54 8234","0.0831093043088913","False",""
"2023/10/05 14:14:54 9747","0.0759939029812813","False",""
"2023/10/05 14:14:55 1132","0.0832600519061089","False",""
"2023/10/05 14:14:55 2539","0.0719538033008575","False",""
"2023/10/05 14:14:55 3929","0.0777425989508629","False",""
"2023/10/05 14:14:55 5250","0.0775014013051987","False",""
"2023/10/05 14:14:55 6519","0.0943552479147911","False",""
"2023/10/05 14:14:55 7826","0.0797023475170136","False",""
"2023/10/05 14:14:55 9133","0.0915513038635254","False",""
"2023/10/05 14:14:56 0428","0.0873604491353035","False",""
"2023/10/05 14:14:56 1712","0.0924256518483162","False",""
"2023/10/05 14:14:56 3013","0.0848881527781487","False",""
"2023/10/05 14:14:56 4349","0.0881443470716476","False",""
"2023/10/05 14:14:56 5707","0.105601198971272","False",""
"2023/10/05 14:14:56 7050","0.0983350500464439","False",""
"2023/10/05 14:14:56 8452","0.100958101451397","False",""
"2023/10/05 14:14:56 9825","0.100204348564148","False",""
"2023/10/05 14:14:57 1144","0.104365050792694","False",""
"2023/10/05 14:14:57 2530","0.0986365526914597","False",""
"2023/10/05 14:14:57 3887","0.114796943962574","False",""
"2023/10/05 14:14:57 5143","0.101561099290848","False",""
"2023/10/05 14:14:57 6506","0.0989380553364754","False",""
"2023/10/05 14:14:57 7876","0.107380054891109","False",""
"2023/10/05 14:14:57 9209","0.106716752052307","False",""
"2023/10/05 14:14:58 0570","0.112626150250435","False",""
"2023/10/05 14:14:58 1967","0.10364144295454","False",""
"2023/10/05 14:14:58 3345","0.118234053254128","False",""
"2023/10/05 14:14:58 4733","0.106234349310398","False",""
"2023/10/05 14:14:58 6106","0.106204196810722","False",""
"2023/10/05 14:14:58 7440","0.105691649019718","False",""
"2023/10/05 14:14:58 8725","0.118445098400116","False",""
"2023/10/05 14:14:59 0074","0.106415249407291","False",""
"2023/10/05 14:14:59 1397","0.107018247246742","False",""
"2023/10/05 14:14:59 2735","0.119620949029922","False",""
"2023/10/05 14:14:59 4113","0.110395051538944","False",""
"2023/10/05 14:14:59 5539","0.128726243972778","False",""
"2023/10/05 14:14:59 6867","0.114435151219368","False",""
"2023/10/05 14:14:59 9377","0.107772000133991","False",""
"2023/10/05 14:15:00 2160","0.0303769465535879","False",""
"2023/10/05 14:15:00 3653","0.0411103591322899","False",""
"2023/10/05 14:15:00 5187","0.0509091056883335","False",""
"2023/10/05 14:15:00 6751","0.0599239468574524","False",""
"2023/10/05 14:15:00 8257","0.0754210501909256","False",""
"2023/10/05 14:15:00 9757","0.081903301179409","False",""
"2023/10/05 14:15:01 1480","0.0820239037275314","False",""
"2023/10/05 14:15:01 2978","0.0899835005402565","False",""
"2023/10/05 14:15:01 4431","0.0950788483023643","False",""
"2023/10/05 14:15:01 5993","0.102797247469425","False",""
"2023/10/05 14:15:01 7645","0.103249497711658","False",""
"2023/10/05 14:15:01 9234","0.110937751829624","False",""
"2023/10/05 14:15:02 0945","0.115580849349499","False",""
"2023/10/05 14:15:02 2533","0.116213999688625","False",""
"2023/10/05 14:15:02 4207","0.119138553738594","False",""
"2023/10/05 14:15:02 5747","0.124806746840477","False",""
"2023/10/05 14:15:02 7260","0.121068149805069","False",""
"2023/10/05 14:15:02 8856","0.117299400269985","False",""
"2023/10/05 14:15:03 0596","0.117299400269985","False",""
"2023/10/05 14:15:03 2239","0.110304601490498","False",""
"2023/10/05 14:15:03 3817","0.106053449213505","False",""
"2023/10/05 14:15:03 5464","0.105691649019718","False",""
"2023/10/05 14:15:03 7072","0.102133944630623","False",""
"2023/10/05 14:15:03 8587","0.100174196064472","False",""
"2023/10/05 14:15:04 0077","0.0917321965098381","False",""
"2023/10/05 14:15:04 1716","0.0762652531266212","False",""
"2023/10/05 14:15:04 3342","0.071049302816391","False",""
"2023/10/05 14:15:04 5024","0.0712301954627037","False",""
"2023/10/05 14:15:04 6545","0.0273318029940128","False",""
"2023/10/05 14:15:04 8132","0.0213319454342127","False",""
"2023/10/05 14:15:04 9627","0.0491905547678471","False",""
"2023/10/05 14:15:05 1311","0.041019894182682","False",""
"2023/10/05 14:15:05 2804","0.0351406410336494","False",""
