Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_MaxVal ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_FotodiodoFinal ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_X_Pos_Real ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Y_Pos_Real ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Tam_Haz_Muestra ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Cdespla ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_TipoBusca ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Listado_Controlables_Valores ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Listado_Controlables_Nombres ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_X_Pos ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Y_Pos ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Distancia_Recorrida ; Buscador_System.Int32 ; Sim_Tilt_X_System.Single ; Sim_Tilt_Y_System.Single ; L2FocusBackSlash_System.Single ; BackSlash_System.Double
Maximo valor registrado ; Valor fotodiodo ; Posición final sobre la muestra X ; Posicion final sobre la muestra Y ; Tamaño del haz sobre la muestra ; Cantidad de desplazamientos ; Tipo de buscador ; Listado de valores de los controlables ; Listado de nombres de los controlables ; Posición seteada para la alineación X ; Posición seteada para la alineación Y ; Contine la distancia recorrida por el algoritmo. ; Numeric value ; Numeric value ; Numeric value ; Numeric value ; Numeric value
0.001899133 ; -0.001545438 ; -9.754789E-05 ; -8.533062E-05 ; 2.571458E-06 ; 1192 ; Integral ; 0 ; 0 ; -0.2 ; -0.2 ; 0.00407960420227065 ; 0 ; -0.1500001 ; -0.07000003 ; 0.2399999 ; 0.02
0.8815563 ; -0.0002025275 ; -9.337573E-05 ; -9.330991E-05 ; 3.217812E-06 ; 1192 ; Bayesiano ; 0 ; 0 ; -0.2 ; -0.2 ; 0.121740806595357 ; 1 ; 0.3983339 ; 0.4850231 ; -0.4816724 ; 0.02
0.5523806 ; 0.001232685 ; -9.764139E-05 ; -9.762352E-05 ; 3.23219E-06 ; 175 ; GlobalizedBoundedNelderMead ; 0 ; 0 ; -0.2 ; -0.2 ; 0.00362453631477555 ; 4 ; -0.2544393 ; -0.067499 ; -0.07151745 ; 0.02
0.6474965 ; -0.0004606721 ; -8.915871E-05 ; -9.943235E-05 ; 3.124524E-06 ; 1189 ; ParticleSwarm ; 0 ; 0 ; -0.2 ; -0.2 ; 0.14970829306584 ; 3 ; -0.4792822 ; 0.242266 ; -0.2504628 ; 0.02
0.9725288 ; -0.00116051 ; -0.0004549567 ; 0.0001383111 ; 2.05165E-06 ; 1181 ; RandomSearch ; 0 ; 0 ; -0.2 ; -0.2 ; 0.162131457544364 ; 2 ; 0.480006 ; 0.07654753 ; -0.1593149 ; 0.02
0.7099384 ; -0.0002657623 ; -9.670741E-05 ; -9.627543E-05 ; 3.987723E-06 ; 1191 ; BigBung_BigCrunch ; 0 ; 0 ; -0.2 ; -0.2 ; 0.145681849525702 ; 5 ; 0.5581062 ; 0.2089301 ; -0.9952517 ; 0.02
0.05069019 ; -0.0007842825 ; -8.763961E-05 ; -9.644244E-05 ; 3.502334E-06 ; 1194 ; Fireworks ; 0 ; 0 ; -0.2 ; -0.2 ; 0.139364962794499 ; 6 ; -0.6000019 ; 0.8550977 ; -0.8405557 ; 0.02
0.01586749 ; 0.01525127 ; -6.910427E-05 ; -8.857751E-05 ; 2.491694E-06 ; 1118 ; Integral ; 0 ; 0 ; -0.0999999985098839 ; -0.2 ; 0.0043409631965251 ; 0 ; 0.03499997 ; -0.74 ; -0.625 ; 0.02
0.5718772 ; 0.001381169 ; -2.437008E-05 ; -7.411096E-05 ; 2.746243E-06 ; 1118 ; Bayesiano ; 0 ; 0 ; -0.0999999985098839 ; -0.2 ; 0.0960030763757805 ; 1 ; 0.3936935 ; 0.4420713 ; -0.3701482 ; 0.02
0.4388815 ; 0.001401897 ; -5.314453E-05 ; -0.0001010061 ; 2.240183E-06 ; 205 ; GlobalizedBoundedNelderMead ; 0 ; 0 ; -0.0999999985098839 ; -0.2 ; 0.00561924831268301 ; 4 ; 0.01565403 ; 0.04104983 ; 0.1470337 ; 0.02
0.8925972 ; 0.0873087 ; -4.817023E-05 ; -0.0001013568 ; 2.570736E-06 ; 1120 ; ParticleSwarm ; 0 ; 0 ; -0.0999999985098839 ; -0.2 ; 0.164237895530337 ; 3 ; -0.386099 ; 0.147808 ; -0.5 ; 0.02
0.809785 ; 0.0002561429 ; 4.074437E-05 ; -0.0001377358 ; 3.580992E-06 ; 1116 ; RandomSearch ; 0 ; 0 ; -0.0999999985098839 ; -0.2 ; 0.182395951942513 ; 2 ; -0.3197691 ; 0.1557938 ; -0.3011598 ; 0.02
0.9365451 ; -0.0006008758 ; -3.717599E-05 ; -8.803094E-05 ; 2.847168E-06 ; 1119 ; BigBung_BigCrunch ; 0 ; 0 ; -0.0999999985098839 ; -0.2 ; 0.132405127157597 ; 5 ; 0.823742 ; -0.1302145 ; -0.7171413 ; 0.02
0.8698734 ; -0.001065261 ; -5.196795E-05 ; -9.928815E-05 ; 2.926217E-06 ; 1116 ; Fireworks ; 0 ; 0 ; -0.0999999985098839 ; -0.2 ; 0.125680131733335 ; 6 ; 0.4708866 ; 0.8016666 ; -0.9718239 ; 0.02
0.09624446 ; 0.09465528 ; 1.555591E-07 ; -9.886679E-05 ; 2.503645E-06 ; 1155 ; Integral ; 0 ; 0 ; 2.9802322276673E-09 ; -0.2 ; 0.0041066475061085 ; 0 ; 0.13 ; -0.48 ; -0.715 ; 0.02
0.9713287 ; 0.9741442 ; 1.870723E-08 ; -9.916347E-05 ; 2.367324E-06 ; 1155 ; Bayesiano ; 0 ; 0 ; 2.9802322276673E-09 ; -0.2 ; 0.0829640086712743 ; 1 ; 0.02580394 ; 0.4608012 ; -0.4886126 ; 0.02
0.3279847 ; 0.0002120977 ; -2.841538E-08 ; -8.56364E-05 ; 2.194623E-06 ; 214 ; GlobalizedBoundedNelderMead ; 0 ; 0 ; 2.9802322276673E-09 ; -0.2 ; 0.00401355521581453 ; 4 ; -0.2348473 ; 0.03889582 ; -0.07261392 ; 0.02
0.980594 ; 0.000648443 ; 1.78355E-05 ; -9.915241E-05 ; 2.71367E-06 ; 1160 ; ParticleSwarm ; 0 ; 0 ; 2.9802322276673E-09 ; -0.2 ; 0.153237795015723 ; 3 ; 0.01367559 ; 0.5 ; -0.5 ; 0.02
0.681962 ; -0.001131627 ; 9.578707E-05 ; 0.0002840045 ; 2.591971E-06 ; 1152 ; RandomSearch ; 0 ; 0 ; 2.9802322276673E-09 ; -0.2 ; 0.184021312427518 ; 2 ; 0.2577 ; 0.4536453 ; -0.1983494 ; 0.02
0.7467314 ; -0.001475959 ; 1.800806E-06 ; -9.759124E-05 ; 2.288362E-06 ; 1155 ; BigBung_BigCrunch ; 0 ; 0 ; 2.9802322276673E-09 ; -0.2 ; 0.136972950274743 ; 5 ; 0.2680458 ; 0.5314122 ; -0.3251578 ; 0.02
0.9144437 ; -0.001322513 ; 5.627165E-08 ; -9.034311E-05 ; 2.723456E-06 ; 1152 ; Fireworks ; 0 ; 0 ; 2.9802322276673E-09 ; -0.2 ; 0.132438637353311 ; 6 ; 0.03996329 ; 0.3209729 ; -0.8986265 ; 0.02
0.03070048 ; 0.02794915 ; 6.564259E-05 ; -0.0001121655 ; 2.978313E-06 ; 1127 ; Integral ; 0 ; 0 ; 0.100000004470348 ; -0.2 ; 0.00405780766411032 ; 0 ; -0.125 ; -0.425 ; -0.72 ; 0.02
0.9594083 ; 0.00636736 ; 4.788928E-05 ; -9.941548E-05 ; 2.284237E-06 ; 1127 ; Bayesiano ; 0 ; 0 ; 0.100000004470348 ; -0.2 ; 0.110792624807445 ; 1 ; 0.05150433 ; 0.1567735 ; -0.4633093 ; 0.02
0.6971877 ; 0.4461342 ; 5.320882E-05 ; -9.442549E-05 ; 1.999992E-06 ; 180 ; GlobalizedBoundedNelderMead ; 0 ; 0 ; 0.100000004470348 ; -0.2 ; 0.00317579394480255 ; 4 ; 0.1223625 ; 0.4603834 ; 0.4525542 ; 0.02
0.7755551 ; 0.06069769 ; 4.938577E-05 ; -9.752529E-05 ; 2.274246E-06 ; 1130 ; ParticleSwarm ; 0 ; 0 ; 0.100000004470348 ; -0.2 ; 0.159182221141519 ; 3 ; -0.5 ; 0.1205232 ; -0.4639823 ; 0.02
