Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_MaxVal ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_FotodiodoFinal ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_X_Pos_Real ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Y_Pos_Real ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Tam_Haz_Muestra ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Cdespla ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_TipoBusca ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Listado_Controlables_Valores ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Listado_Controlables_Nombres ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_X_Pos ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Y_Pos ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Distancia_Recorrida ; Buscador_System.Int32 ; Sim_Tilt_X_System.Single ; Sim_Tilt_Y_System.Single ; L2FocusBackSlash_System.Single ; BackSlash_System.Double
Maximo valor registrado ; Valor fotodiodo ; Posición final sobre la muestra X ; Posicion final sobre la muestra Y ; Tamaño del haz sobre la muestra ; Cantidad de desplazamientos ; Tipo de buscador ; Listado de valores de los controlables ; Listado de nombres de los controlables ; Posición seteada para la alineación X ; Posición seteada para la alineación Y ; Contine la distancia recorrida por el algoritmo. ; Numeric value ; Numeric value ; Numeric value ; Numeric value ; Numeric value
0.001876575 ; -0.001327824 ; -9.78196E-05 ; -0.0001004284 ; 3.667315E-06 ; 1143 ; Integral ; 0 ; 0 ; -0.2 ; -0.2 ; 0.00367703748178808 ; 0 ; -0.245 ; 0.5849999 ; -0.495 ; 0.025
0.7866165 ; 0.02253151 ; -9.763755E-05 ; -9.451662E-05 ; 3.109282E-06 ; 1143 ; Bayesiano ; 0 ; 0 ; -0.2 ; -0.2 ; 0.114073678121614 ; 1 ; -0.1661905 ; -0.4498121 ; -0.07302149 ; 0.025
0.9503526 ; 0.5154064 ; -7.460184E-05 ; -7.48195E-05 ; 2.024643E-06 ; 180 ; GlobalizedBoundedNelderMead ; 0 ; 0 ; -0.2 ; -0.2 ; 0.00451563426584236 ; 4 ; 0.09913657 ; 0.3951569 ; 0.4482871 ; 0.025
0.8775043 ; 0.8356681 ; -7.397545E-05 ; -7.375025E-05 ; 2.341631E-06 ; 1140 ; ParticleSwarm ; 0 ; 0 ; -0.2 ; -0.2 ; 0.187302975679039 ; 3 ; 0.1647109 ; 0.5 ; -0.4118797 ; 0.025
0.4240263 ; 0.001168331 ; -9.782134E-05 ; -9.757555E-05 ; 3.472668E-06 ; 1143 ; RandomSearch ; 0 ; 0 ; -0.2 ; -0.2 ; 0.194454037343905 ; 2 ; -0.3649853 ; 0.07314122 ; -0.3439923 ; 0.025
0.4570402 ; 0.4555409 ; -9.753834E-05 ; -9.48877E-05 ; 2.978044E-06 ; 1143 ; BigBung_BigCrunch ; 0 ; 0 ; -0.2 ; -0.2 ; 0.13614704511469 ; 5 ; -0.5269716 ; 0.1939378 ; 0.08756919 ; 0.025
0.4979254 ; -0.0006713939 ; -8.829714E-05 ; -8.865976E-05 ; 2.444104E-06 ; 1140 ; Fireworks ; 0 ; 0 ; -0.2 ; -0.2 ; 0.132572162734483 ; 6 ; -0.7002934 ; 0.3413099 ; 0.2023767 ; 0.025
0.001965678 ; -0.0001116822 ; -2.672149E-05 ; -7.644659E-05 ; 2.523647E-06 ; 1095 ; Integral ; 0 ; 0 ; -0.0999999985098839 ; -0.2 ; 0.00395095285961621 ; 0 ; 0.8149999 ; 0.295 ; 0.03999996 ; 0.025
0.8776298 ; -0.0008054425 ; -4.160312E-05 ; -9.919843E-05 ; 2.464195E-06 ; 1095 ; Bayesiano ; 0 ; 0 ; -0.0999999985098839 ; -0.2 ; 0.111635740456239 ; 1 ; -0.2461069 ; 0.4850305 ; -0.4354059 ; 0.025
0.5480611 ; 0.0004691872 ; -4.787749E-05 ; -7.562388E-05 ; 2.663628E-06 ; 184 ; GlobalizedBoundedNelderMead ; 0 ; 0 ; -0.0999999985098839 ; -0.2 ; 0.00346997240869272 ; 4 ; -0.2523887 ; 0.09677967 ; -0.06177586 ; 0.025
0.01873225 ; 0.01631002 ; -4.979115E-05 ; -9.950573E-05 ; 2.270638E-06 ; 1100 ; ParticleSwarm ; 0 ; 0 ; -0.0999999985098839 ; -0.2 ; 0.00800257913372761 ; 3 ; 0.5 ; -0.5 ; 0.03065865 ; 0.025
0.9544423 ; -0.001998298 ; -0.0003856187 ; -0.0001770021 ; 2.019304E-06 ; 1087 ; RandomSearch ; 0 ; 0 ; -0.0999999985098839 ; -0.2 ; 0.167893869349361 ; 2 ; -0.0721017 ; -0.1502429 ; -0.13873 ; 0.025
0.7382541 ; 0.001957715 ; -4.101264E-05 ; -8.945476E-05 ; 2.805905E-06 ; 1095 ; BigBung_BigCrunch ; 0 ; 0 ; -0.0999999985098839 ; -0.2 ; 0.123079517335608 ; 5 ; 0.4161172 ; -0.006990343 ; -0.815367 ; 0.025
0.9317508 ; -0.001587826 ; -2.48778E-05 ; -9.776665E-05 ; 2.690192E-06 ; 1092 ; Fireworks ; 0 ; 0 ; -0.0999999985098839 ; -0.2 ; 0.120024721385084 ; 6 ; 0.7710538 ; -0.1541833 ; -0.6435016 ; 0.025
0.001966061 ; 0.000743207 ; 4.118903E-05 ; -5.584416E-05 ; 2.375804E-06 ; 1068 ; Integral ; 0 ; 0 ; 2.9802322276673E-09 ; -0.2 ; 0.00403185053764241 ; 0 ; -0.24 ; -0.79 ; 0.5649999 ; 0.025
