Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_MaxVal ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_FotodiodoFinal ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_X_Pos_Real ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Y_Pos_Real ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Tam_Haz_Muestra ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Cdespla ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_TipoBusca ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Listado_Controlables_Valores ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Listado_Controlables_Nombres ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_X_Pos ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Y_Pos ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Distancia_Recorrida ; Buscador_System.Int32 ; Sim_Tilt_X_System.Single ; Sim_Tilt_Y_System.Single ; L2FocusBackSlash_System.Single ; BackSlash_System.Double
Maximo valor registrado ; Valor fotodiodo ; Posición final sobre la muestra X ; Posicion final sobre la muestra Y ; Tamaño del haz sobre la muestra ; Cantidad de desplazamientos ; Tipo de buscador ; Listado de valores de los controlables ; Listado de nombres de los controlables ; Posición seteada para la alineación X ; Posición seteada para la alineación Y ; Contine la distancia recorrida por el algoritmo. ; Numeric value ; Numeric value ; Numeric value ; Numeric value ; Numeric value
0.001961776 ; 2.295613E-05 ; -9.64988E-05 ; -9.634975E-05 ; 3.61923E-06 ; 1127 ; Integral ; 0 ; 0 ; -0.2 ; -0.2 ; 0.00403100622072176 ; 0 ; -0.115 ; 0.03999994 ; -0.585 ; 0.005
0.5790971 ; 0.2610335 ; -9.788631E-05 ; -9.411293E-05 ; 3.344901E-06 ; 1127 ; Bayesiano ; 0 ; 0 ; -0.2 ; -0.2 ; 0.0749235144281228 ; 1 ; -0.4590363 ; 0.1323857 ; -0.3698037 ; 0.005
0.416681 ; -0.001198562 ; -9.246695E-05 ; -9.771143E-05 ; 2.720181E-06 ; 171 ; GlobalizedBoundedNelderMead ; 0 ; 0 ; -0.2 ; -0.2 ; 0.0030124973002278 ; 4 ; 0.2792023 ; 0.1352722 ; 0.4214842 ; 0.005
0.1007411 ; 0.001496937 ; -9.949297E-05 ; -9.956954E-05 ; 3.276273E-06 ; 1130 ; ParticleSwarm ; 0 ; 0 ; -0.2 ; -0.2 ; 0.00958970810799203 ; 3 ; 0.5 ; -0.5 ; -0.04834416 ; 0.005
0.5831411 ; 0.001494003 ; 0.0001740881 ; 0.0001549579 ; 3.814508E-06 ; 1122 ; RandomSearch ; 0 ; 0 ; -0.2 ; -0.2 ; 0.170920430400266 ; 2 ; 0.3484778 ; 0.362517 ; -0.4151802 ; 0.005
0.3584127 ; 0.3585378 ; -0.0001005607 ; -9.937228E-05 ; 3.137329E-06 ; 1128 ; BigBung_BigCrunch ; 0 ; 0 ; -0.2 ; -0.2 ; 0.133926215802742 ; 5 ; 0.3443982 ; -0.8596798 ; 0.1140607 ; 0.005
0.4037237 ; 0.001650609 ; -9.806431E-05 ; -9.925769E-05 ; 3.780346E-06 ; 1128 ; Fireworks ; 0 ; 0 ; -0.2 ; -0.2 ; 0.129988646455148 ; 6 ; -0.4347492 ; 0.2661456 ; -0.6293515 ; 0.005
0.01044373 ; 0.008646386 ; -4.7761E-05 ; -9.788833E-05 ; 2.711534E-06 ; 1148 ; Integral ; 0 ; 0 ; -0.0999999985098839 ; -0.2 ; 0.00399151190109062 ; 0 ; -0.32 ; -0.52 ; -0.69 ; 0.005
0.8406823 ; 0.001907097 ; -4.346998E-05 ; -9.971316E-05 ; 2.392696E-06 ; 1148 ; Bayesiano ; 0 ; 0 ; -0.0999999985098839 ; -0.2 ; 0.0954068906992556 ; 1 ; 0.410253 ; -0.4763503 ; -0.2413214 ; 0.005
0.4356576 ; 0.4340253 ; -4.708248E-05 ; -9.748284E-05 ; 2.145841E-06 ; 204 ; GlobalizedBoundedNelderMead ; 0 ; 0 ; -0.0999999985098839 ; -0.2 ; 0.00359260029789686 ; 4 ; 0.33892 ; -0.3382332 ; 0.2440484 ; 0.005
