Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_MaxVal ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_FotodiodoFinal ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_X_Pos_Real ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Y_Pos_Real ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Tam_Haz_Muestra ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Cdespla ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_TipoBusca ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Listado_Controlables_Valores ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Listado_Controlables_Nombres ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_X_Pos ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Y_Pos ; Ta_ThermSoft.Simulacion.Buscador.InstanciaEjecutora+Resultados_Distancia_Recorrida ; Buscador_System.Int32 ; Sim_Tilt_X_System.Single ; Sim_Tilt_Y_System.Single ; L2FocusBackSlash_System.Single ; BackSlash_System.Double
Maximo valor registrado ; Valor fotodiodo ; Posición final sobre la muestra X ; Posicion final sobre la muestra Y ; Tamaño del haz sobre la muestra ; Cantidad de desplazamientos ; Tipo de buscador ; Listado de valores de los controlables ; Listado de nombres de los controlables ; Posición seteada para la alineación X ; Posición seteada para la alineación Y ; Contine la distancia recorrida por el algoritmo. ; Numeric value ; Numeric value ; Numeric value ; Numeric value ; Numeric value
0.001980188 ; -0.00112258 ; -0.0001425556 ; -5.880481E-06 ; 2.00799E-06 ; 1170 ; Integral ; 0 ; 0 ; -0.2 ; -0.2 ; 0.00442095921861105 ; 0 ; -0.685 ; 0.09999996 ; 0.205 ; 0.085
0.880558 ; 0.002209032 ; -9.932047E-05 ; -4.174887E-05 ; 2.278789E-06 ; 1170 ; Bayesiano ; 0 ; 0 ; -0.2 ; -0.2 ; 0.142766268076137 ; 1 ; 0.3986625 ; 0.4196926 ; -0.4375888 ; 0.085
0.1266673 ; 0.02940495 ; -4.192577E-05 ; -4.382357E-05 ; 3.468022E-06 ; 153 ; GlobalizedBoundedNelderMead ; 0 ; 0 ; -0.2 ; -0.2 ; 0.00911465559507893 ; 4 ; -0.2668824 ; 0.1169148 ; -0.06139125 ; 0.085
0.09300874 ; 0.09053985 ; -9.993938E-05 ; -9.91234E-05 ; 2.836178E-06 ; 1170 ; ParticleSwarm ; 0 ; 0 ; -0.2 ; -0.2 ; 0.00540871465816516 ; 3 ; 0.5 ; -0.5 ; 0.5 ; 0.085
0.5915011 ; -0.001184708 ; -0.0002506021 ; -0.0001106492 ; 2.009786E-06 ; 1165 ; RandomSearch ; 0 ; 0 ; -0.2 ; -0.2 ; 0.159782320643301 ; 2 ; -0.1895188 ; -0.4991702 ; 0.450625 ; 0.085
0.5538524 ; -0.0001145624 ; -9.991194E-05 ; -9.642356E-05 ; 4.000935E-06 ; 1170 ; BigBung_BigCrunch ; 0 ; 0 ; -0.2 ; -0.2 ; 0.121565386271868 ; 5 ; -0.2502194 ; 0.7843227 ; -0.9315876 ; 0.085
0.5348506 ; 0.0009419374 ; -0.0001602053 ; -9.896082E-05 ; 3.783049E-06 ; 1170 ; Fireworks ; 0 ; 0 ; -0.2 ; -0.2 ; 0.13528566439762 ; 6 ; 0.5278384 ; -0.8377315 ; -0.8490276 ; 0.085
0.001997914 ; 0.0001102549 ; -4.980016E-05 ; -9.963651E-05 ; 2.2239E-06 ; 1204 ; Integral ; 0 ; 0 ; -0.0999999985098839 ; -0.2 ; 0.00498752323410524 ; 0 ; 0.165 ; 0.4999999 ; 0.13 ; 0.085
0.9068193 ; -0.001533441 ; -4.973374E-05 ; -9.768706E-05 ; 2.460727E-06 ; 1204 ; Bayesiano ; 0 ; 0 ; -0.0999999985098839 ; -0.2 ; 0.115876890658873 ; 1 ; 0.06047389 ; -0.138211 ; -0.3112876 ; 0.085
0.04813008 ; 0.04047449 ; -4.789012E-05 ; -9.952024E-05 ; 2.32027E-06 ; 160 ; GlobalizedBoundedNelderMead ; 0 ; 0 ; -0.0999999985098839 ; -0.2 ; 0.00623584761917048 ; 4 ; -0.3569704 ; 0.1020504 ; -0.06637494 ; 0.085
0.1060071 ; -0.0009935971 ; -4.983462E-05 ; -2.519879E-05 ; 3.047109E-06 ; 1200 ; ParticleSwarm ; 0 ; 0 ; -0.0999999985098839 ; -0.2 ; 0.0956332034053453 ; 3 ; 0.3206472 ; -0.4904361 ; -0.01394253 ; 0.085
0.6029163 ; -0.001803366 ; 0.0001561351 ; -0.0002763798 ; 2.037486E-06 ; 1201 ; RandomSearch ; 0 ; 0 ; -0.0999999985098839 ; -0.2 ; 0.179497429740653 ; 2 ; -0.03397463 ; 0.335115 ; -0.1052294 ; 0.085
0.8458039 ; 0.002177057 ; -4.654542E-05 ; -8.732391E-05 ; 2.814168E-06 ; 1203 ; BigBung_BigCrunch ; 0 ; 0 ; -0.0999999985098839 ; -0.2 ; 0.134496353158022 ; 5 ; 0.9339349 ; -0.2614731 ; -0.8567455 ; 0.085
0.8244426 ; -0.001527468 ; -4.642415E-05 ; -6.852361E-05 ; 3.84891E-06 ; 1206 ; Fireworks ; 0 ; 0 ; -0.0999999985098839 ; -0.2 ; 0.1293106304042 ; 6 ; 0.9740166 ; -0.1830868 ; -0.9553195 ; 0.085
0.00193731 ; 0.0006024578 ; 3.289367E-08 ; -9.762367E-05 ; 2.116624E-06 ; 1172 ; Integral ; 0 ; 0 ; 2.9802322276673E-09 ; -0.2 ; 0.0044525635468433 ; 0 ; -0.2600001 ; 0.04999997 ; 0.07999996 ; 0.085
0.7039168 ; 0.001976783 ; 7.789447E-08 ; -2.166291E-05 ; 2.705006E-06 ; 1172 ; Bayesiano ; 0 ; 0 ; 2.9802322276673E-09 ; -0.2 ; 0.121118096460379 ; 1 ; 0.1679869 ; -0.2008414 ; -0.2758788 ; 0.085
0.5134191 ; 0.008474857 ; -3.141312E-07 ; -9.602585E-05 ; 2.031663E-06 ; 174 ; GlobalizedBoundedNelderMead ; 0 ; 0 ; 2.9802322276673E-09 ; -0.2 ; 0.0123174784214718 ; 4 ; 0.4163734 ; 0.4476328 ; 0.4659394 ; 0.085
0.7418295 ; 0.7388387 ; 1.274978E-08 ; -9.993938E-05 ; 2.012967E-06 ; 1170 ; ParticleSwarm ; 0 ; 0 ; 2.9802322276673E-09 ; -0.2 ; 0.153692014078122 ; 3 ; -0.01376112 ; 0.5 ; 0.5 ; 0.085
0.3567811 ; 0.0001273587 ; -2.167977E-05 ; -0.0004406026 ; 2.104761E-06 ; 1166 ; RandomSearch ; 0 ; 0 ; 2.9802322276673E-09 ; -0.2 ; 0.170374659515407 ; 2 ; -0.385539 ; 0.3045393 ; -0.3268547 ; 0.085
0.9664714 ; -0.000371701 ; 7.057604E-05 ; -2.772153E-05 ; 3.283913E-06 ; 1173 ; BigBung_BigCrunch ; 0 ; 0 ; 2.9802322276673E-09 ; -0.2 ; 0.137040154487058 ; 5 ; -0.4077694 ; -0.9731057 ; -0.8780504 ; 0.085
0.9953985 ; -0.001209283 ; 1.361631E-07 ; -9.869698E-05 ; 2.558356E-06 ; 1170 ; Fireworks ; 0 ; 0 ; 2.9802322276673E-09 ; -0.2 ; 0.132330912412403 ; 6 ; -0.02382673 ; 0.5227005 ; -0.7815266 ; 0.085
0.001966035 ; 0.001052623 ; 7.53773E-05 ; -7.256066E-05 ; 2.020165E-06 ; 1063 ; Integral ; 0 ; 0 ; 0.100000004470348 ; -0.2 ; 0.00414113123142678 ; 0 ; -0.565 ; -0.125 ; 0.73 ; 0.085
0.8484226 ; 0.0004258697 ; 0.0001458787 ; 4.169284E-07 ; 2.31921E-06 ; 1063 ; Bayesiano ; 0 ; 0 ; 0.100000004470348 ; -0.2 ; 0.107750482512672 ; 1 ; -0.04241541 ; -0.4320742 ; -0.4255692 ; 0.085
0.3136217 ; 0.03958543 ; 8.296494E-05 ; -9.97391E-05 ; 2.15883E-06 ; 226 ; GlobalizedBoundedNelderMead ; 0 ; 0 ; 0.100000004470348 ; -0.2 ; 0.015646252678864 ; 4 ; 0.4566502 ; 0.3361797 ; 0.3794592 ; 0.085
0.3918257 ; 0.3904074 ; 4.935702E-05 ; -9.994007E-05 ; 2.308105E-06 ; 1060 ; ParticleSwarm ; 0 ; 0 ; 0.100000004470348 ; -0.2 ; 0.0459522025068218 ; 3 ; -0.5 ; -0.5 ; -0.5 ; 0.085
0.5833561 ; 0.001999184 ; -0.0001003745 ; -0.0001907974 ; 2.449105E-06 ; 1055 ; RandomSearch ; 0 ; 0 ; 0.100000004470348 ; -0.2 ; 0.149573271430871 ; 2 ; 0.1681065 ; -0.3590927 ; -0.3744817 ; 0.085
0.4950494 ; 0.001799202 ; 9.702869E-05 ; -9.735212E-05 ; 2.399855E-06 ; 1062 ; BigBung_BigCrunch ; 0 ; 0 ; 0.100000004470348 ; -0.2 ; 0.12908863893418 ; 5 ; 0.6793553 ; 0.8463301 ; -0.1910539 ; 0.085
0.4501363 ; 0.0005136376 ; 7.509266E-06 ; -0.0001421898 ; 3.5126E-06 ; 1062 ; Fireworks ; 0 ; 0 ; 0.100000004470348 ; -0.2 ; 0.131035996417354 ; 6 ; -0.5223212 ; -0.9371758 ; -0.5951614 ; 0.085
