"Indice","MaxValor","ValorFinalMedido","CantidadDespla","PosFinaX1","PosFinaX2","BuscadorV","BuscadorNombre","FuncionV","FuncionNombre"
"1","10.3729855322567","10.3729855322567","128","-0.984416007995605","0.997920751571655","1","Integral","1","Ackley"
"1","6.54961627994617","13.6814971519314","0","0.0438405349850655","0.048289705067873","2","Diferencial","1","Ackley"
"1","3.37316809892067","3.37316809892067","128","-3.15853667259216","3.20102071762085","3","Bayesian","1","Ackley"
"1","11.3961873112036","11.3961873112036","278","-0.951972723007202","-8.95179800863843E-06","4","GlobalizedBoundedNelderMead","1","Ackley"
"1","5.12186337073152","5.12186337073152","130","1.98290383815765","-3.17196369171143","5","ParticleSwarm","1","Ackley"
"1","11.5226275080913","11.5226275080913","128","0.349292814731598","-0.0121516510844231","6","RandomSearch","1","Ackley"
"1","8.57091145688504","8.57091145688504","122","-1.95792210102081","0.952848434448242","7","BigBung_BigCrunch","1","Ackley"
"1","8.50469591495339","6.17960369713072","115","1.35112953186035","-2.15976619720459","8","Fireworks","1","Ackley"
"2","8.58576835620435","8.58576835620435","128","-0.965263664722443","1.95841288566589","1","Integral","1","Ackley"
"2","7.69833605577803","13.6362590997098","0","0.0514511503279209","0.0509850271046162","2","Diferencial","1","Ackley"
"2","5.15088288049937","5.15088288049937","128","1.00970566272736","-3.95774555206299","3","Bayesian","1","Ackley"
"2","6.79512580528052","6.79512580528052","239","0.988213360309601","-2.9664843082428","4","GlobalizedBoundedNelderMead","1","Ackley"
"2","6.01220746092898","6.01220746092898","130","-2.9714572429657","1.9910751581192","5","ParticleSwarm","1","Ackley"
"2","4.62042129172607","4.62042129172607","125","-1.97772169113159","-3.97736287117004","6","RandomSearch","1","Ackley"
"2","8.68618344259953","7.730142461947","122","-1.66289973258972","-0.909500181674957","7","BigBung_BigCrunch","1","Ackley"
"2","4.68956702118908","4.68956702118908","125","-1.8729407787323","3.20964026451111","8","Fireworks","1","Ackley"
"3","7.08941789566535","7.08941789566535","102","2.95863485336304","0.010994628071785","1","Integral","1","Ackley"
"3","7.94449443911309","13.6687048366363","0","0.0496499985456467","0.0454315133392811","2","Diferencial","1","Ackley"
"3","6.72998201427854","6.72998201427854","102","1.03635275363922","-2.98236870765686","3","Bayesian","1","Ackley"
"3","7.09352290151556","7.09352290151556","254","0.000560503511223942","2.96435213088989","4","GlobalizedBoundedNelderMead","1","Ackley"
"3","7.31167078933954","7.31167078933954","100","-1.97155916690826","1.90778982639313","5","ParticleSwarm","1","Ackley"
"3","8.6045361493271","8.6045361493271","99","-0.9585080742836","-1.2930623292923","6","RandomSearch","1","Ackley"
"3","6.77423210279784","6.77423210279784","100","2.99565243721008","0.990232288837433","7","BigBung_BigCrunch","1","Ackley"
"3","10.5541596256704","10.5541596256704","99","0.899699687957764","-0.201310634613037","8","Fireworks","1","Ackley"
"4","8.91962879070694","8.91962879070694","117","-2.03999996185303","0.00832076370716095","1","Integral","1","Ackley"
"4","8.66461059325483","13.7191897821299","0","0.0435820035636425","0.0396317578852177","2","Diferencial","1","Ackley"
"4","10.3942236824937","10.3942236824937","117","-0.963783323764801","-0.951709270477295","3","Bayesian","1","Ackley"
"4","5.24132011137877","5.24132011137877","199","-1.98095488548279","-3.15525197982788","4","GlobalizedBoundedNelderMead","1","Ackley"
"4","4.62208856525365","4.62208856525365","120","-1.98592591285706","3.9805281162262","5","ParticleSwarm","1","Ackley"
"4","6.01889158035959","6.01889158035959","115","-3.14652705192566","-1.01140093803406","6","RandomSearch","1","Ackley"
"4","11.2621776140571","11.2621776140571","117","-0.925964832305908","-0.0677110478281975","7","BigBung_BigCrunch","1","Ackley"
"4","7.0861842924841","7.0861842924841","113","-2.9547266960144","0.0136160301044583","8","Fireworks","1","Ackley"
"5","11.3715917104708","11.3715917104708","128","-0.981858849525452","-0.0099850594997406","1","Integral","1","Ackley"
"5","6.463554608271","13.774652368164","0","0.0319625400006771","0.0371267721056938","2","Diferencial","1","Ackley"
"5","3.85523889183759","3.85523889183759","128","2.9842312335968","-3.98340225219727","3","Bayesian","1","Ackley"
"5","5.98169923726257","5.98169923726257","214","-1.98288977146149","-3.00837326049805","4","GlobalizedBoundedNelderMead","1","Ackley"
"5","6.74767696589705","6.74767696589705","130","-2.96232342720032","-0.946444630622864","5","ParticleSwarm","1","Ackley"
"5","3.83921429702576","3.83921429702576","126","-2.96004009246826","-3.98580431938171","6","RandomSearch","1","Ackley"
"5","11.3186882664433","11.3186882664433","123","0.00926971901208162","0.892038345336914","7","BigBung_BigCrunch","1","Ackley"
"5","7.44180385272251","7.44180385272251","128","0.0714070722460747","2.24036622047424","8","Fireworks","1","Ackley"
"6","6.61708838823672","6.61708838823672","114","-2.16000008583069","-1.98462021350861","1","Integral","1","Ackley"
"6","4.2507769366828","13.7362916194998","0","0.037131454795599","0.0418346934020519","2","Diferencial","1","Ackley"
"6","9.08882515911652","9.08882515911652","114","0.0101252747699618","-1.9544974565506","3","Bayesian","1","Ackley"
"6","6.79515575382754","6.79515575382754","251","-0.989656329154968","-2.96752023696899","4","GlobalizedBoundedNelderMead","1","Ackley"
"6","6.65241494010176","6.65241494010176","110","0.991235017776489","-3.04101228713989","5","ParticleSwarm","1","Ackley"
"6","4.90504858014793","4.90504858014793","111","3.03055906295776","-2.97831392288208","6","RandomSearch","1","Ackley"
"6","8.65790788785092","8.30925194425406","111","-0.136664003133774","-2.07831907272339","7","BigBung_BigCrunch","1","Ackley"
"6","5.94076753079159","5.94076753079159","110","2.93171834945679","2.01629877090454","8","Fireworks","1","Ackley"
