"Indice","MaxValor","ValorFinalMedido","CantidadDespla","PosFinaX1","PosFinaX2"
"1","6.54961627994617","13.6814971519314","0","0.0438405349850655","0.048289705067873","2","Diferencial","1","Ackley","51.7394036995992"
"1","7.41495892420776","7.41495892420776","256","-1.9673171043396","1.97707307338715","3","Bayesian","1","Ackley","149.150452287569"
"1","13.9756561109049","13.9756561109049","280","-0.000104788792668842","-0.000123889738461003","4","GlobalizedBoundedNelderMead","1","Ackley","55.729009972214"
"1","8.65654506068559","8.65654506068559","258","0.136893272399902","-1.94905519485474","5","ParticleSwarm","1","Ackley","134.659327534055"
"1","13.5415796443175","13.5415796443175","237","-0.0275353640317917","0.0822420343756676","6","RandomSearch","1","Ackley","445.62912424641"
"1","12.2599560614138","12.2599560614138","256","0.199112713336945","-0.126994162797928","7","BigBung_BigCrunch","1","Ackley","417.015587507395"
"1","12.4361676052732","12.4361676052732","256","-0.155744329094887","-0.148891180753708","8","Fireworks","1","Ackley","393.97197144039"
"2","11.3944865672123","11.3944865672123","256","-0.00526376068592072","0.958412826061249","1","Integral","1","Ackley","20.937647339506"
"2","7.69833605577803","13.6362590997098","0","0.0514511503279209","0.0509850271046162","2","Diferencial","1","Ackley","48.2758215164913"
"2","8.59375453189606","8.59375453189606","256","0.978309035301209","-1.96596121788025","3","Bayesian","1","Ackley","183.795970419501"
"2","9.24846180813944","9.24846180813944","232","0.96307384967804","-1.19958209991455","4","GlobalizedBoundedNelderMead","1","Ackley","45.0375995000245"
"2","9.40641913679622","8.89275536824461","255","-1.1758189201355","0.391075134277344","5","ParticleSwarm","1","Ackley","201.200461764187"
"2","8.99383647654264","8.99383647654264","223","-0.0467813313007355","-1.91529405117035","6","RandomSearch","1","Ackley","321.884488223154"
"2","10.1685826452283","10.1685826452283","256","0.930480062961578","1.05484986305237","7","BigBung_BigCrunch","1","Ackley","453.95154562718"
"2","11.4757960871304","11.4757960871304","256","-0.165824487805367","-0.289246708154678","8","Fireworks","1","Ackley","360.36479048799"
"3","9.08879650719607","9.08879650719607","226","1.95863485336304","0.010994553565979","1","Integral","1","Ackley","20.0551594059659"
"3","7.94449443911309","13.6687048366363","0","0.0496499985456467","0.0454315133392811","2","Diferencial","1","Ackley","51.0910577384976"
"3","9.06301211687172","9.06301211687172","226","0.0277614053338766","-1.97698926925659","3","Bayesian","1","Ackley","236.077275382353"
"3","9.69744785195331","9.69744785195331","234","0.000487952318508178","1.24583864212036","4","GlobalizedBoundedNelderMead","1","Ackley","56.2295962437648"
"3","11.9696034149231","11.9696034149231","223","-0.00535639701411128","0.281697750091553","5","ParticleSwarm","1","Ackley","35.9023976208787"
"3","12.6132823847584","5.19547199294184","216","-1.86027956008911","-2.76863622665405","6","RandomSearch","1","Ackley","390.581541018518"
"3","12.3483141392508","12.3483141392508","226","0.0811615660786629","0.214409753680229","7","BigBung_BigCrunch","1","Ackley","347.219406393694"
"3","12.0298242959582","12.0298242959582","224","0.211479350924492","0.153744548559189","8","Fireworks","1","Ackley","392.998649701517"
"4","11.3927971662089","11.3927971662089","245","-0.960000038146973","0.00832068920135498","1","Integral","1","Ackley","19.0583126025525"
"4","8.66461059325483","13.7191897821299","0","0.0435820035636425","0.0396317578852177","2","Diferencial","1","Ackley","51.7436065066912"
"4","13.878116240013","13.878116240013","245","-0.0181378684937954","0.0207266565412283","3","Bayesian","1","Ackley","310.455967978621"
"4","9.09195291167617","9.09195291167617","277","0.000649075780529529","-1.95704090595245","4","GlobalizedBoundedNelderMead","1","Ackley","52.1284667137199"
"4","8.75353893752596","8.75353893752596","236","-0.0492386817932129","1.83262348175049","5","ParticleSwarm","1","Ackley","40.9683569345204"
"4","8.23353466982102","3.93788590700028","223","-2.38116526603699","-2.78080034255981","6","RandomSearch","1","Ackley","331.23575619443"
"4","11.028721092069","11.028721092069","244","-0.0422238297760487","-0.449374675750732","7","BigBung_BigCrunch","1","Ackley","463.962378082552"
"4","11.5709508353326","11.5709508353326","244","-0.254953384399414","0.188224077224731","8","Fireworks","1","Ackley","429.645528812184"
"5","13.9061624459475","13.9061624459475","256","0.0181410536170006","-0.00998513400554657","1","Integral","1","Ackley","18.8667729646974"
"5","6.463554608271","13.774652368164","0","0.0319625400006771","0.0371267721056938","2","Diferencial","1","Ackley","52.1554335491649"
"5","8.5923161040023","8.5923161040023","256","0.97750723361969","-1.97167348861694","3","Bayesian","1","Ackley","166.51043467496"
"5","8.59422676074007","8.59422676074007","280","-0.982140004634857","-1.96365678310394","4","GlobalizedBoundedNelderMead","1","Ackley","48.26179604813"
"5","10.4161583609844","10.4161583609844","256","-1.15637874603271","0.00363184604793787","5","ParticleSwarm","1","Ackley","148.992654835511"
"5","7.29288547921942","7.29288547921942","239","-2.01638865470886","-2.02877473831177","6","RandomSearch","1","Ackley","255.741700731847"
"5","13.0303662973127","13.0303662973127","256","0.084289975464344","0.124732665717602","7","BigBung_BigCrunch","1","Ackley","476.730537487958"
"5","13.6607631784276","13.6607631784276","256","-0.0673874467611313","-0.0133592206984758","8","Fireworks","1","Ackley","404.571667994612"
"6","10.369502191686","10.369502191686","242","-1.00000023841858","-0.984620332717896","1","Integral","1","Ackley","17.7879751530956"
"6","4.2507769366828","13.7362916194998","0","0.037131454795599","0.0418346934020519","2","Diferencial","1","Ackley","49.5411460257356"
"6","11.5374572649752","11.5374572649752","242","-0.00184946414083242","-0.347153902053833","3","Bayesian","1","Ackley","294.715162414104"
