"Indice","MaxValor","ValorFinalMedido","CantidadDespla","PosFinaX1","PosFinaX2","BuscadorV","BuscadorNombre","FuncionV","FuncionNombre"
"1","7.52250950960561","7.52250950960561","256","0.00389597564935684","-0.000519825145602226","1","Integral","1","Ackley"
"1","3.74178620518041","7.35572759146066","0","0.0309601277112961","0.0320724248886108","2","Diferencial","1","Ackley"
"1","3.95956569920729","3.95956569920729","256","-0.969199359416962","0.967981278896332","3","Bayesian","1","Ackley"
"1","6.42167088930299","6.42167088930299","223","-0.171962648630142","6.9653382524848E-05","4","GlobalizedBoundedNelderMead","1","Ackley"
"1","3.13929872572828","3.13929872572828","260","0.43422332406044","-0.838712692260742","5","ParticleSwarm","1","Ackley"
"1","7.09584179896866","7.09584179896866","256","0.0873232036828995","-0.00303791277110577","6","RandomSearch","1","Ackley"
"1","4.92780070730146","3.81092611858559","254","-0.444194614887238","0.326845079660416","7","BigBung_BigCrunch","1","Ackley"
"1","4.45509002329538","4.45509002329538","256","0.196004077792168","-0.381808757781982","8","Fireworks","1","Ackley"
"2","7.27349084958201","7.27349084958201","256","-0.00131592899560928","0.059603214263916","1","Integral","1","Ackley"
"2","4.36444733857286","7.34631586683209","0","0.0328627862036228","0.0327462553977966","2","Diferencial","1","Ackley"
"2","3.83001767986869","3.83001767986869","256","0.252358496189117","-0.919308960437775","3","Bayesian","1","Ackley"
"2","4.83192468578886","4.83192468578886","214","0.0503676161170006","-0.899895548820496","4","GlobalizedBoundedNelderMead","1","Ackley"
"2","3.11320048549689","3.11320048549689","260","-0.893954753875732","0.697768807411194","5","ParticleSwarm","1","Ackley"
"2","3.43992797909619","3.43992797909619","256","-0.331172049045563","-0.931950151920319","6","RandomSearch","1","Ackley"
"2","4.91634940221302","4.91634940221302","256","-0.326316773891449","-0.143198385834694","7","BigBung_BigCrunch","1","Ackley"
"2","3.58890961685483","3.58890961685483","256","-0.298191606998444","0.868287444114685","8","Fireworks","1","Ackley"
"3","4.9537542270824","4.9537542270824","207","0.949658691883087","0.00274863839149475","1","Integral","1","Ackley"
"3","4.32720119042152","7.35304273992824","0","0.0324124991893768","0.0313578806817532","2","Diferencial","1","Ackley"
"3","4.8304222991437","4.8304222991437","207","0.0670131966471672","-0.935813963413239","3","Bayesian","1","Ackley"
"3","4.91786389460901","4.91786389460901","166","-5.86384412599728E-05","0.911459684371948","4","GlobalizedBoundedNelderMead","1","Ackley"
"3","3.60831577481263","3.60831577481263","210","-0.377263456583023","0.470424443483353","5","ParticleSwarm","1","Ackley"
"3","4.84317821127788","4.84317821127788","207","-0.160057365894318","-0.327889710664749","6","RandomSearch","1","Ackley"
"3","4.32846829568251","4.32846829568251","207","0.902967214584351","0.16427581012249","7","BigBung_BigCrunch","1","Ackley"
"3","6.47865993221611","6.47865993221611","207","0.155645772814751","-0.0524818785488606","8","Fireworks","1","Ackley"
"4","4.953880504424","4.953880504424","221","-0.949999988079071","0.00208017230033875","1","Integral","1","Ackley"
"4","5.04452305824759","7.36377601886368","0","0.0308955013751984","0.0299079418182373","2","Diferencial","1","Ackley"
"4","6.02562614266826","6.02562614266826","221","-0.193297415971756","-0.092790812253952","3","Bayesian","1","Ackley"
"4","3.34451597558958","3.34451597558958","174","-0.360536843538284","-0.877912819385529","4","GlobalizedBoundedNelderMead","1","Ackley"
"4","3.19056215095357","3.19056215095357","220","-0.412309676408768","0.858155846595764","5","ParticleSwarm","1","Ackley"
"4","4.57350650344866","4.57350650344866","221","-0.957402169704437","-0.124285086989403","6","RandomSearch","1","Ackley"
"4","6.38486860901039","6.38486860901039","221","-0.17506043612957","0.0191315747797489","7","BigBung_BigCrunch","1","Ackley"
"4","4.55549119101279","4.55549119101279","221","-0.786267161369324","0.00848020799458027","8","Fireworks","1","Ackley"
"5","7.51868204003126","7.51868204003126","256","0.00453526712954044","-0.00249628350138664","1","Integral","1","Ackley"
"5","4.23933330012771","7.34008560508141","0","0.0329906344413757","0.0342816933989525","2","Diferencial","1","Ackley"
"5","3.33548083512209","3.33548083512209","256","0.765407800674438","-0.946588277816772","3","Bayesian","1","Ackley"
"5","3.07928855740414","3.07928855740414","159","-0.679262757301331","-0.917311728000641","4","GlobalizedBoundedNelderMead","1","Ackley"
"5","3.9059534014001","3.9059534014001","260","-0.889094710350037","-0.236611157655716","5","ParticleSwarm","1","Ackley"
"5","3.63608777783617","3.63608777783617","256","-0.842931568622589","-0.981726825237274","6","RandomSearch","1","Ackley"
"5","6.0546451506606","6.0546451506606","256","-0.0163755100220442","0.214319556951523","7","BigBung_BigCrunch","1","Ackley"
"5","4.45027763168564","4.45027763168564","256","0.00879331491887569","0.749955654144287","8","Fireworks","1","Ackley"
"1","42.5003346060495","42.5003346060495","191","-0.990000009536743","-0.990000009536743","1","Integral","2","Rastrigin"
"1","17.9063836381494","42.1255713809763","0","-0.950717210769653","0.995000004768372","2","Diferencial","2","Rastrigin"
"1","30.0321932067816","30.0321932067816","191","-0.00653793103992939","-0.684669017791748","3","Bayesian","2","Rastrigin"
"1","32.6246576774621","32.6246576774621","203","-0.240528136491776","-0.909141898155212","4","GlobalizedBoundedNelderMead","2","Rastrigin"
"1","33.3350513499408","33.3350513499408","190","0.0795850977301598","-0.760253071784973","5","ParticleSwarm","2","Rastrigin"
"1","40.0747780611299","40.0747780611299","191","0.933369815349579","-0.900840103626251","6","RandomSearch","2","Rastrigin"
"1","27.7528931911704","27.7528931911704","191","-0.0341222397983074","-0.360267877578735","7","BigBung_BigCrunch","2","Rastrigin"
