"Indice","MaxValor","ValorFinalMedido","CantidadDespla","PosFinaX1","PosFinaX2","BuscadorV","BuscadorNombre","FuncionV","FuncionNombre"
"1","13.9250784361194","13.9250784361194","256","0.0155838951468468","-0.00207930058240891","1","Integral","1","Ackley"
"1","6.54961627994617","13.6814971519314","0","0.0438405349850655","0.048289705067873","2","Diferencial","1","Ackley"
"1","7.41495892420776","7.41495892420776","256","-1.9673171043396","1.97707307338715","3","Bayesian","1","Ackley"
"1","13.9756561109049","13.9756561109049","280","-0.000104788792668842","-0.000123889738461003","4","GlobalizedBoundedNelderMead","1","Ackley"
"1","8.65615711623524","8.65615711623524","259","0.136893272399902","-1.95528781414032","5","ParticleSwarm","1","Ackley"
"1","13.5415796443175","13.5415796443175","246","-0.0275353640317917","0.0822420343756676","6","RandomSearch","1","Ackley"
"1","11.4339120622677","10.2972341428248","226","-1.01134717464447","-0.921558320522308","7","BigBung_BigCrunch","1","Ackley"
"1","13.4323649908106","4.6459064268086","235","0.437247335910797","-3.20358204841614","8","Fireworks","1","Ackley"
"2","11.3944865672123","11.3944865672123","256","-0.00526376068592072","0.958412826061249","1","Integral","1","Ackley"
"2","7.69833605577803","13.6362590997098","0","0.0514511503279209","0.0509850271046162","2","Diferencial","1","Ackley"
"2","8.59375453189606","8.59375453189606","256","0.978309035301209","-1.96596121788025","3","Bayesian","1","Ackley"
"2","9.24846180813944","9.24846180813944","232","0.96307384967804","-1.19958209991455","4","GlobalizedBoundedNelderMead","1","Ackley"
"2","8.89275536824461","8.89275536824461","258","-1.1758189201355","0.391075134277344","5","ParticleSwarm","1","Ackley"
"2","9.03717302208091","9.03717302208091","235","-0.019279133528471","-2.00072979927063","6","RandomSearch","1","Ackley"
"2","11.5458861575046","5.11781531036013","243","-3.22124576568604","-1.13530838489532","7","BigBung_BigCrunch","1","Ackley"
"2","8.47283987820397","8.47283987820397","239","-0.919810175895691","1.92835700511932","8","Fireworks","1","Ackley"
"3","9.08879650719607","9.08879650719607","226","1.95863485336304","0.010994553565979","1","Integral","1","Ackley"
"3","7.94449443911309","13.6687048366363","0","0.0496499985456467","0.0454315133392811","2","Diferencial","1","Ackley"
"3","9.06301211687172","9.06301211687172","226","0.0277614053338766","-1.97698926925659","3","Bayesian","1","Ackley"
"3","9.69744785195331","9.69744785195331","234","0.000487952318508178","1.24583864212036","4","GlobalizedBoundedNelderMead","1","Ackley"
"3","11.9699985623352","11.9699985623352","230","0.00291339354589581","0.281697750091553","5","ParticleSwarm","1","Ackley"
"3","10.7419620623885","10.7419620623885","214","-0.667455494403839","-0.00895183905959129","6","RandomSearch","1","Ackley"
"3","8.90676850363757","8.90676850363757","224","1.9754992723465","0.0832249373197556","7","BigBung_BigCrunch","1","Ackley"
"3","12.787399293373","12.787399293373","217","0.179563000798225","0.0202345587313175","8","Fireworks","1","Ackley"
"4","11.3927971662089","11.3927971662089","245","-0.960000038146973","0.00832068920135498","1","Integral","1","Ackley"
"4","8.66461059325483","13.7191897821299","0","0.0435820035636425","0.0396317578852177","2","Diferencial","1","Ackley"
"4","13.878116240013","13.878116240013","245","-0.0181378684937954","0.0207266565412283","3","Bayesian","1","Ackley"
"4","9.09195291167617","9.09195291167617","277","0.000649075780529529","-1.95704090595245","4","GlobalizedBoundedNelderMead","1","Ackley"
"4","8.98935268542515","8.98935268542515","240","-0.0492386817932129","1.91604554653168","5","ParticleSwarm","1","Ackley"
"4","8.78837043896761","4.25011446654465","235","-3.12616086006165","-2.87506198883057","6","RandomSearch","1","Ackley"
"4","12.7512058903843","12.7512058903843","236","-0.182403177022934","-0.0291508510708809","7","BigBung_BigCrunch","1","Ackley"
"4","10.189269880109","10.189269880109","230","-0.870172560214996","-0.943589270114899","8","Fireworks","1","Ackley"
"5","13.9061624459475","13.9061624459475","256","0.0181410536170006","-0.00998513400554657","1","Integral","1","Ackley"
"5","6.463554608271","13.774652368164","0","0.0319625400006771","0.0371267721056938","2","Diferencial","1","Ackley"
"5","8.5923161040023","8.5923161040023","256","0.97750723361969","-1.97167348861694","3","Bayesian","1","Ackley"
"5","8.59422676074007","8.59422676074007","280","-0.982140004634857","-1.96365678310394","4","GlobalizedBoundedNelderMead","1","Ackley"
"5","10.4164546173524","10.4164546173524","259","-1.15637874603271","0.000173502747202292","5","ParticleSwarm","1","Ackley"
"5","7.29288547921942","4.12895159544913","248","-2.18991446495056","-3.21635246276855","6","RandomSearch","1","Ackley"
"5","13.8269962320906","11.390259794122","244","0.952019870281219","0.0146867725998163","7","BigBung_BigCrunch","1","Ackley"
"5","11.1286978945814","4.40634824489043","254","-0.0308750085532665","3.52239513397217","8","Fireworks","1","Ackley"
"6","10.369502191686","10.369502191686","242","-1.00000023841858","-0.984620332717896","1","Integral","1","Ackley"
"6","4.2507769366828","13.7362916194998","0","0.037131454795599","0.0418346934020519","2","Diferencial","1","Ackley"
"6","11.5374572649752","11.5374572649752","242","-0.00184946414083242","-0.347153902053833","3","Bayesian","1","Ackley"
"6","9.76873766296796","9.76873766296796","273","-9.40418904065154E-05","-1.23656749725342","4","GlobalizedBoundedNelderMead","1","Ackley"
"6","10.725679604223","10.725679604223","239","0.00634383270516992","-0.641012191772461","5","ParticleSwarm","1","Ackley"
"6","7.03030925894378","7.03030925894378","234","1.8687903881073","-1.8811057806015","6","RandomSearch","1","Ackley"
"6","12.1420610043873","3.57780479215772","236","0.559759020805359","-3.69295477867126","7","BigBung_BigCrunch","1","Ackley"
