"Instant0","-0.4","-0.4","0.00520169641822577","False","False","276195206.245156","2023-10-02-16-53-26-0245"
"","-0.372413793206215","-0.4","0.0044479463249445","False","False","276195206.577277","2023-10-02-16-53-26-0577",""
"","-0.34482758641243","-0.4","0.00396555382758379","False","False","276195206.891407","2023-10-02-16-53-26-0891",""
"","-0.317241379618645","-0.4","0.00459869625046849","False","False","276195207.19349","2023-10-02-16-53-27-0193",""
"","-0.28965517282486","-0.4","0.00490019610151649","False","False","276195207.50051","2023-10-02-16-53-27-0500",""
"","-0.262068966031075","-0.4","0.00354344630613923","False","False","276195207.845306","2023-10-02-16-53-27-0845",""
"","-0.234482759237289","-0.4","0.00453839264810085","False","False","276195208.167193","2023-10-02-16-53-28-0167",""
"","-0.206896552443504","-0.4","0.00471930345520377","False","False","276195208.500165","2023-10-02-16-53-28-0500",""
"","-0.179310345649719","-0.4","0.00393539248034358","False","False","276195208.823067","2023-10-02-16-53-28-0823",""
"","-0.151724138855934","-0.4","0.00480974977836013","False","False","276195209.144561","2023-10-02-16-53-29-0144",""
"","-0.124137932062149","-0.4","0.00381480366922915","False","False","276195209.479668","2023-10-02-16-53-29-0479",""
"","-0.096551725268364","-0.4","0.00456855352967978","False","False","276195209.815879","2023-10-02-16-53-29-0815",""
"","-0.0689655184745789","-0.4","0.00487005384638906","False","False","276195210.141996","2023-10-02-16-53-30-0141",""
"","-0.0413793116807938","-0.4","0.00426705367863178","False","False","276195210.473761","2023-10-02-16-53-30-0473",""
"","-0.0137931048870087","-0.4","0.0047796075232327","False","False","276195210.803479","2023-10-02-16-53-30-0803",""
"","0.0137931019067764","-0.4","0.00408614287152886","False","False","276195211.124195","2023-10-02-16-53-31-0124",""
"","0.0413793087005615","-0.4","0.0044479463249445","False","False","276195211.463266","2023-10-02-16-53-31-0463",""
"","0.0689655154943466","-0.4","0.00399569654837251","False","False","276195211.773782","2023-10-02-16-53-31-0773",""
"","0.0965517222881317","-0.4","0.00456855352967978","False","False","276195212.126687","2023-10-02-16-53-32-0126",""
"","0.124137929081917","-0.4","0.00384494639001787","False","False","276195212.466994","2023-10-02-16-53-32-0466",""
"","0.151724135875702","-0.4","0.00369419623166323","False","False","276195212.800366","2023-10-02-16-53-32-0800",""
"","0.179310342669487","-0.4","0.00462885713204741","False","False","276195213.127786","2023-10-02-16-53-33-0127",""
"","0.206896549463272","-0.4","0.00423689279705286","False","False","276195213.448684","2023-10-02-16-53-33-0448",""
"","0.234482756257057","-0.4","0.00399569654837251","False","False","276195213.77535","2023-10-02-16-53-33-0775",""
"","0.262068963050842","-0.4","0.00417660735547543","False","False","276195214.0764","2023-10-02-16-53-34-0076",""
"","0.289655169844627","-0.4","0.00405600015074015","False","False","276195214.389825","2023-10-02-16-53-34-0389",""
"","0.317241376638412","-0.4","0.0041464464738965","False","False","276195214.732416","2023-10-02-16-53-34-0732",""
